Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"5,925 EUR (149,900 CZK)",Subaru,Legacy,3.0,"185,653 km",2003,Petrol,Wagon,Blue,Rudná,180 kW (245 HP),Automatic,https://www.annonce.cz/inzerat/subaru-legacy-3-0-awd-73088111-wdu9rf.html,
"34,783 EUR (879,900 CZK)",Chevrolet,Colorado,2.8,"61,175 km",2018,Diesel,Pickup,Black,Praha,135 kW (184 HP),Automatic,https://www.automodul.cz/chevrolet-colorado-2-8-td-4x4-duramax-zr2-bose-c2600343,
"13,836 EUR (349,999 CZK)",Seat,Alhambra,2.0 TDI,"219,217 km",2014,Diesel,Mpv,Silver,Chomutov,130 kW (177 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Seat/Alhambra/Alhambra-2.0TDI-130k-Van-Minibus-171052063811295.html,
"9,882 EUR (249,999 CZK)",Volvo,S80,3.0 T6,"183,192 km",2010,Petrol,Sedan,Blue,Olbramovice,224 kW (305 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volvo/S80/S80-3-0-T6-224k-Sedan-Limuzina-1707124085669242.html,
"17,393 EUR (439,999 CZK)",Audi,A8,4.1 TDI,"324,287 km",2011,Diesel,Sedan,Black,Praha,258 kW (351 HP),Automatic,https://www.sauto.cz/osobni/detail/audi/a8/204376737,
"3,715 EUR (94,000 CZK)",Opel,Zafira,1.7,"246,763 km",2010,Diesel,Mpv,Silver,Karlovy Vary,92 kW (125 HP),Manual,https://autocaris.cz/detail.php?inzerat=736895,
"53,334 EUR (1,349,150 CZK)",Mercedes Benz,Eqc,400,"16,775 km",2023,Electric,Suv,Red,Olomouc,300 kW (408 HP),Automatic,https://www.annonce.cz/inzerat/mercedes-benz-eqc-400-72540421-ww117g.html,
"94,836 EUR (2,399,000 CZK)",Bmw,7 Series,750i,"32,000 km",2021,Petrol,Sedan,White,Ostrava,390 kW (530 HP),Automatic,https://www.sauto.cz/osobni/detail/bmw/rada-7/204237876,
"16,603 EUR (419,999 CZK)",Volkswagen,Touareg,3.0 TDI V6,"194,886 km",2012,Diesel,Suv,Black,Olbramovice,180 kW (245 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Touareg/Touareg-3-0-TDI-V6-SUV-1709282333205137.html,
"7,471 EUR (189,000 CZK)",Subaru,Outback,2.0 D,"202,000 km",2013,Diesel,Crossover,Gray,Žďár Nad Sázavou,110 kW (150 HP),Automatic,https://www.annonce.cz/inzerat/subaru-outback-2-0d-72728343-wdy9ty.html,
"27,668 EUR (699,900 CZK)",Mini,Cooper,,"18,447 km",2020,Electric,Hatchback,Green,Praha,75 kW (102 HP),Automatic,https://www.sauto.cz/osobni/detail/mini/cooper/203684745,
"6,321 EUR (159,900 CZK)",Toyota,Rav4,2.0,"216,177 km",2006,Diesel,Suv,Gray,Šenov U Nového Jičína,85 kW (116 HP),Manual,https://www.cars.cz/inzerce/osobni-auto-O/Toyota/RAV4/RAV4-2-0-D4-D-4x-SUV-171104065528348.html,
"7,906 EUR (199,999 CZK)",Volkswagen,Tiguan,1.4 TSI,"198,952 km",2012,Petrol,Crossover,White,Brno,90 kW (122 HP),Manual,https://yauto.cz/volkswagen/tiguan/14-lpg-kombi-benzin-841302/,
"15,377 EUR (388,999 CZK)",Volkswagen,Caddy,2.0 TDI,"144,400 km",2016,Diesel,Pickup,Blue,Olbramovice,75 kW (102 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Volkswagen/Caddy/Caddy-2.0-TDI-MAX-Kombi-1706953068130115.html,
"10,199 EUR (258,000 CZK)",Mazda,3,2.0 SKYACTIV,"98,869 km",2014,Petrol,Hatchback,Brown,Kroměříž,88 kW (120 HP),Manual,https://www.automodul.cz/mazda-3-2-0-i-skyactiv-1-maj-cr-c2645127,
"9,803 EUR (247,999 CZK)",Audi,Q5,2.0,"230,123 km",2010,Diesel,Suv,White,Brno,125 kW (170 HP),Automatic,https://www.sauto.cz/osobni/detail/audi/q5/205366530,
"16,599 EUR (419,900 CZK)",Ford,Kuga,1.5,"68,200 km",2018,Petrol,Suv,Blue,Praha,110 kW (150 HP),Manual,https://www.sauto.cz/osobni/detail/ford/kuga/204350958,
"100,801 EUR (2,549,900 CZK)",Audi,Q8,3.0 50 TDI quattro,30 km,2024,Diesel,Suv,Black,Praha,210 kW (286 HP),Automatic,https://autocaris.cz/detail.php?inzerat=735484,
"21,738 EUR (549,900 CZK)",Mazda,Cx-5,2.5,"140,570 km",2019,Petrol,Crossover,Red,Praha,143 kW (194 HP),Automatic,https://www.sauto.cz/osobni/detail/mazda/cx-5/205477287,
"23,715 EUR (599,900 CZK)",Volkswagen,Touareg,3.0 TDI V6,"133,000 km",2016,Diesel,Suv,Gray,České Budějovice,193 kW (262 HP),Automatic,https://autobazar.megainzerce.cz/automobily-nad-501-tis/volkswagen-touareg-kombi-193kw-nafta-201601-1037479.htm,
"12,646 EUR (319,900 CZK)",Ford,Kuga,2.0 TDCi,"171,760 km",2016,Diesel,Suv,Gray,Uherské Hradiště,134 kW (182 HP),Manual,https://www.dasweltauto.cz/vehicle/242342309,
"65,223 EUR (1,649,900 CZK)",Bmw,8 Series,M850i xDrive,"47,784 km",2021,Petrol,Coupe,Black,Praha,390 kW (530 HP),Automatic,https://www.autanet.cz/detail/bmw/rada-8/41456,
"9,882 EUR (249,990 CZK)",Volkswagen,Touareg,3.0 TDI,"434,000 km",2011,Diesel,Suv,Gray,Rajhrad,180 kW (245 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/touareg/202548244,
"14,231 EUR (360,000 CZK)",Peugeot,3008,1.2,"119,553 km",2016,Petrol,Crossover,Red,Praha,96 kW (131 HP),Manual,http://auto.rychle.cz/osobni-auto-O/Peugeot/3008/3008-1.2-PT-MPV-17068697356933271.html,
"9,487 EUR (239,999 CZK)",Bmw,X1,xDrive20d,"221,328 km",2012,Diesel,Suv,White,Olbramovice,130 kW (177 HP),Automatic,https://www.automodul.cz/bmw-x1-2-0-xdrive20d-130kw-4x4-m-pake-c2709621,
"22,533 EUR (570,000 CZK)",Volkswagen,Tiguan Allspace,2.0,"209,646 km",2018,Diesel,Crossover,White,Praha,176 kW (239 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/tiguan-allspace/204542712,
"20,912 EUR (529,000 CZK)",Volvo,V60,2.4 D4 AWD,"99,734 km",2017,Diesel,Wagon,Beige,Liberec,140 kW (190 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volvo/V60/V60-D4-AWD-2-4-Kombi-1706609495212331.html,
"23,715 EUR (599,900 CZK)",Hyundai,Santa Fe,2.2 CRDi,"142,050 km",2019,Diesel,Suv,Red,Uherské Hradiště,149 kW (203 HP),Automatic,https://www.dasweltauto.cz/vehicle/242322757,
