Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Seat,Leon,2.0,2023,Diesel,Hatchback,Black,Wien,Manual,https://www.dasweltauto.at/vehicle/15054343,32215,201,86.0,6,Austria
Seat,Leon,1.5 tsi,2023,Petrol,Hatchback,Silver,Wien,Manual,https://www.dasweltauto.at/vehicle/15054358,28170,201,97.0,6,Austria
Seat,Leon,1.0 eTSI,2023,Petrol,Hatchback,White,Bruck An Der Mur,Automatic,https://www.zweispurig.at/seat-leon-tageszulassung-benzin-weiss-steiermark/details-1191780,34300,200,82.0,6,Austria
Seat,Leon,2.0,2023,Diesel,Hatchback,Gray,Klagenfurt,Automatic,https://www.dasweltauto.at/vehicle/569505650,43481,100,111.0,6,Austria
Seat,Leon,1.5 tsi,2023,Petrol,Hatchback,Black,Klagenfurt,Manual,https://www.dasweltauto.at/vehicle/569505625,31490,100,97.0,6,Austria
Seat,Leon,1.0 tsi,2023,Petrol,Hatchback,White,Klagenfurt,Manual,https://www.dasweltauto.at/vehicle/569505664,27590,100,82.0,6,Austria
Seat,Leon,1.0 tsi,2023,Petrol,Hatchback,Black,Klagenfurt,Manual,https://www.dasweltauto.at/vehicle/569505662,25490,100,82.0,6,Austria
Citroen,C4 Picasso,1.6,2020,Diesel,Mpv,Gray,Wiener Neustadt,Automatic,https://www.zweispurig.at/citroen-c4-picasso-gebrauchtwagen-diesel-grau-niederoesterreich/details-1204268,28490,20090,97.0,6,Austria
Mitsubishi,Outlander,2.3 did,2015,Diesel,Suv,Black,Wien,Automatic,https://www.zweispurig.at/mitsubishi-outlander-gebrauchtwagen-diesel-mehrere-erhaeltlich-wien/details-1239156,19660,83855,111.0,6,Austria
Audi,A6,2.0 TDI Ultra,2017,Diesel,Wagon,Black,Steyr,Automatic,https://www.dasweltauto.at/vehicle/31306825,28990,50076,141.0,6,Austria
Mercedes Benz,Glc-Class,43 AMG 4MATIC,2021,Petrol,Suv,Blue,Lustenau,Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-benzin-blau-vorarlberg/details-1230541,59990,49500,290.0,6,Austria
Mercedes Benz,Glc-Class,300 4MATIC,2021,Petrol,Suv,White,Stockerau,Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1246751,54900,21000,192.0,6,Austria
