Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,VIN,Contact
"6,468 EUR (6,995 USD)",Chrysler,Town&Country,3.6 touring v6,"109,075 mi",2011,,Mpv,White,Broadway,211 kW (287 HP),Automatic,2A4RR8DG6BR799210,https://www.easyautosales.com/used-cars/2011-Chrysler-Town-and-Country-Touring-L-117517376.html
"9,243 EUR (9,995 USD)",Toyota,4runner,4.7 Limited,"140,889 mi",2002,Petrol,Suv,Silver,Plainfield,136 kW (185 HP),Automatic,JT3HN87RX20378146,https://www.cars.com/vehicledetail/79785b57-f95e-42de-bb43-68b6de8b3ed2//
"20,341 EUR (21,996 USD)",Honda,Hr-V,1.8,"34,743 mi",2022,Petrol,Crossover,Silver,Pacific,105 kW (143 HP),Manual,3CZRU6H54NM765113,https://www.easyautosales.com/used-cars/2022-Honda-HR-V-EX-117667686.html
"19,084 EUR (20,637 USD)",Nissan,Rogue,2.5 SV,"29,028 mi",2021,Petrol,Crossover,Blue,Tampa,134 kW (182 HP),Automatic,JN8AT3BA7MW011703,https://www.easyautosales.com/used-cars/2021-Nissan-Rogue-SV-119000590.html
"5,543 EUR (5,995 USD)",Dodge,Journey,3.5 SXT,"133,268 mi",2010,Petrol,Crossover,White,Plainfield,175 kW (238 HP),Automatic,3D4PG5FV9AT225096,https://www.cars.com/vehicledetail/3be5970d-0e00-424a-ad1b-77bab991b338//
"10,167 EUR (10,995 USD)",Cadillac,Srx,3.6 premium v6,"107,551 mi",2016,Petrol,Suv,Black,Street,229 kW (311 HP),Automatic,3GYFNDE36GS529388,https://www.easyautosales.com/used-cars/2016-Cadillac-SRX-AWD-4dr-Premium-Collection-117938374.html
"8,783 EUR (9,498 USD)",Subaru,Forester,2.0 X,"169,892 mi",2010,Petrol,Suv,Black,Fort Collins,126 kW (171 HP),Automatic,JF2SH6DC9AH728736,https://www.cars.com/vehicledetail/0aea4538-39d9-4fe5-be6e-c9faf38d383c//
"19,419 EUR (20,999 USD)",Chevrolet,Colorado,3.6 LT,"98,867 mi",2016,Petrol,Pickup,Gray,Colorado Springs,229 kW (311 HP),Automatic,1GCGSCE33G1323041,https://www.cars.com/vehicledetail/1e408fc4-7301-4b5b-b980-face26ff4192//
"4,622 EUR (4,999 USD)",Dodge,Grand Caravan,3.3 SE V6,"152,725 mi",2010,Petrol,Mpv,Blue,Bethany,130 kW (177 HP),Automatic,2D4RN4DEXAR244500,https://www.cars.com/vehicledetail/04bc813b-630c-44d4-ac26-4b0288e0ca26//
"21,727 EUR (23,495 USD)",Gmc,Terrain,1.5,"47,402 mi",2020,Petrol,Suv,White,Manahawkin,126 kW (171 HP),Automatic,3GKALPEV9LL345094,https://www.easyautosales.com/used-cars/2020-GMC-Terrain-SLT-FWD-4dr-119166516.html
