Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"9,995 EUR",Volkswagen,Polo,1.2 TSI,"109,348 km",2013,Petrol,Hatchback,Black,Goes,67 kW (91 HP),Manual,https://www.zeelandnet.nl/prikbord/volkswagen-polo-12-tsi-match-panoramadak-cruise-control-stoelverwarming/a/6401793,
"19,700 EUR",Peugeot,3008,1.2 puretech,"77,120 km",2020,Petrol,Crossover,Black,Rijswijk,97 kW (132 HP),Automatic,https://www.autotrader.nl/auto/voertuig/peugeot-3008-12-puretech-130-pk-automaat-active-benzine/cc1cdfa3-9db5-4de9-807f-e06a24707bb5/,
"9,950 EUR",Škoda,Fabia,1.2 TSI,"129,780 km",2017,Petrol,Wagon,Silver,Roosendaal,67 kW (91 HP),Manual,https://www.autotrader.nl/auto/voertuig/skoda-fabia-combi-12-tsi-ambition-90-pk-airco-lm-privacy-benzine/0acfe986-2c71-4ca1-b99f-fc75ec76ebcc/,
"14,400 EUR",Toyota,Aygo,1.0,"42,776 km",2018,Petrol,Mini,Silver,Delft,51 kW (69 HP),Automatic,https://www.autotrader.nl/auto/voertuig/toyota-aygo-10-vvt-i-x-joy-automaat-navigatie-climate-con-benzine/1fa44102-533e-43c0-930d-81b6fd3722e5/,
"32,500 EUR",Bmw,3 Series,320d EfficientDynamics,"87,365 km",2021,Petrol,Wagon,Silver,Nijkerk,137 kW (186 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2087211834-bmw-3-serie-touring-320i-exe-ed-sportline-nl-auto-virtual,
"38,950 EUR",Bmw,3 Series,320i,"57,981 km",2021,Petrol,Sedan,Black,Enkhuizen,137 kW (186 HP),Automatic,https://www.nederlandmobiel.nl/tweedehands-auto/bmw/3-serie-320i-high-executive-m-pakket-schuifdak-apple-carplay/18824231,
"9,999 EUR",Seat,Leon,1.0,"198,570 km",2017,Petrol,Hatchback,Gray,Wierden,86 kW (117 HP),Automatic,https://autovooru.nl/seat-leon~14d-5de-3bd905.html,
"7,900 EUR",Škoda,Octavia,1.2 TSI,"187,230 km",2012,Petrol,Wagon,Gray,Loenen,78 kW (106 HP),Manual,https://www.autotrader.nl/auto/voertuig/skoda-octavia-combi-12-tsi-105pk-ambition-airco-cruise-trekhaak-benzine/c55fc2bd-a50a-4566-bb08-a9f01da7c879/,
"2,699 EUR",Audi,A6,2.4,"344,010 km",2005,Petrol,Sedan,Black,Wierden,131 kW (178 HP),Automatic,https://autovooru.nl/audi-a6~c3-2d0-3c26f6.html,
"12,900 EUR",Volkswagen,Golf,2.5 tsi,"155,484 km",2013,Electric,Hatchback,Black,Haarlem,105 kW (143 HP),Manual,https://www.marktplaats.nl/v/auto-s/volkswagen/m2082714795-volkswagen-golf-1-4-tsi-act-141pk-highline-navi-park-assi,
"11,799 EUR",Peugeot,308,1.2 puretech,"128,446 km",2017,Petrol,Hatchback,Blue,Stadskanaal,82 kW (112 HP),Manual,https://www.autotrader.nl/auto/voertuig/peugeot-308-12-puretech-blue-lease-executive-nav-ac-cruise-benzine/0f55c72a-f3a2-4ca2-aeac-78eb851a9b40/,
"23,740 EUR",Renault,Clio,1.0 tce,500 km,2024,Petrol,Hatchback,Gray,Tilburg,67 kW (91 HP),Manual,https://www.autotrader.nl/auto/voertuig/renault-clio-10-tce-90pk-gpf-evolution-apple-and-android-carpl-benzine/b28b5d7e-2bf6-41a3-ab2a-69a84f8fc70c/,
"33,980 EUR",Mercedes Benz,C-Class,6.2,"107,342 km",2018,Hybrid,Wagon,Silver,Tilburg,135 kW (184 HP),Automatic,https://www.autotrader.nl/auto/voertuig/mercedes-benz-c-200-estate-bus-sol-amg-184pk-pano-burmester-sf-elektro-benzine/d4adf882-7ae3-4d4e-9aed-894845eaff32/,
"17,450 EUR",Volkswagen,Golf,1.4 TSI,"86,838 km",2017,Electric,Wagon,White,Leerdam,93 kW (126 HP),Automatic,https://www.autotrader.nl/auto/voertuig/volkswagen-golf-variant-14-tsi-allstar-dsg-automaat-bi-xenon-naviga-benzine/dd36ff5a-584a-4550-a89e-a76bee028d1f/,
