Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"15,490 EUR",Hyundai,I30,1.0,"53,200 km",2019,Petrol,,Wagon,Brown,Linz,89 kW (121 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511218-hyundai-i30-cw-t-gdi-level-3-plusnavirueckfahrkamera.html
"15,499 EUR",Bmw,Z4,i,"109,000 km",2008,Petrol,4,Convertible,Black,Steyr,131 kW (178 HP),Manual,https://www.zweispurig.at/bmw-z4-gebrauchtwagen-benzin-schwarz-oberoesterreich/details-1223191
"13,990 EUR",Audi,A4 Allroad,2.0 TDI,"214,000 km",2012,Diesel,5,Crossover,Brown,Salzburg,131 kW (178 HP),Manual,https://www.zweispurig.at/audi-a4-allroad-gebrauchtwagen-diesel-braun-salzburg/details-1218466
"11,500 EUR",Audi,Tt,2.0 tfsi,"151,000 km",2007,Petrol,4,Coupe,Black,Salzburg,149 kW (203 HP),Manual,https://www.zweispurig.at/audi-tt-gebrauchtwagen-benzin-schwarz-salzburg/details-1240947
"18,499 EUR",Bmw,X3,xDrive20d,"170,000 km",2013,Diesel,5,Suv,Black,Braunau Am Inn,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1221951
"10,980 EUR",Ford,Focus,1.5 TDCi,"116,000 km",2017,Diesel,,Wagon,Gray,Steyr,78 kW (106 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511622-ford-focus-traveller-tdci-navi-kamera-winterpaket.html
"17,450 EUR",Bmw,3 Series,316d,"109,000 km",2018,Diesel,,Wagon,Blue,Steyr,86 kW (117 HP),Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510894-bmw-316d-touring-advantage-led-navi-pdc.html
"36,950 EUR",Volkswagen,Golf,2.0 R,"60,804 km",2019,Petrol,6,Sedan,Gray,Graz,224 kW (305 HP),Automatic,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-grau-steiermark/details-1237725
"19,900 EUR",Volkswagen,Golf,1.0 tsi,"32,000 km",2019,Petrol,6,Sedan,White,Wien,86 kW (117 HP),Automatic,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1195100
"72,990 EUR",Volkswagen,Transporter,2.0 TSI,"13,580 km",2022,Petrol,6,Van,Black,Salzburg,152 kW (207 HP),Automatic,https://www.dasweltauto.at/vehicle/50045863
"19,980 EUR",Volkswagen,Sharan,2.0 TDI,"169,057 km",2019,Diesel,6,Van,Silver,Wien,111 kW (151 HP),Automatic,https://www.zweispurig.at/vw-sharan-gebrauchtwagen-diesel-silber-niederoesterreich/details-1250641
"45,990 EUR",Hyundai,Tucson,1.6 CRDi,"3,000 km",2024,Diesel,6,Suv,White,Innsbruck,101 kW (137 HP),Automatic,https://www.zweispurig.at/hyundai-tucson-vorfuehrwagen-diesel-weiss-tirol/details-1224367
"42,900 EUR",Land Rover,Evoque,2.0,"49,280 km",2020,Diesel,,Suv,Gray,Linz,133 kW (181 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510116-land-rover-range-rover-evoque-d180-s-head-up-sd-sth.html
"16,990 EUR",Volkswagen,Passat,2.0 TDI,"93,200 km",2018,Diesel,6,Wagon,Silver,Graz,111 kW (151 HP),Manual,https://www.zweispurig.at/vw-passat-gebrauchtwagen-diesel-silber-steiermark/details-1238572
"12,880 EUR",Fiat,Tipo,1.4,"88,715 km",2019,Petrol,,Hatchback,Black,Wien,89 kW (121 HP),Manual,https://www.zweispurig.at/fiat-tipo-gebrauchtwagen-benzin-mehrere-erhaeltlich-wien/details-1210968
"17,990 EUR",Seat,Leon,1.5 tsi,"20,840 km",2019,Petrol,,Hatchback,Black,Leoben,111 kW (151 HP),Manual,https://www.dasweltauto.at/vehicle/4643400042
"76,990 EUR",Mercedes Benz,Glc-Class,300 4MATIC,"16,224 km",2022,Diesel,6,Suv,Black,Schwaz,182 kW (248 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-schwarz-tirol/details-1226799
"155,290 EUR",Porsche,Taycan,,14 km,2023,Electric,,Sedan,Blue,Graz,143 kW (194 HP),Automatic,https://www.zweispurig.at/porsche-taycan-gebrauchtwagen-elektro-blau-steiermark/details-1236861
"248,670 EUR",Bentley,Continental Gt,6.0,"12,657 km",2018,Petrol,6,Coupe,White,Wiener Neustadt,473 kW (643 HP),Automatic,https://www.zweispurig.at/bentley-continental-gt-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1252638
"184,900 EUR",Porsche,911,3.0,"14,428 km",2020,Petrol,,Coupe,Black,Innsbruck,335 kW (456 HP),Automatic,https://www.zweispurig.at/porsche-911-gebrauchtwagen-benzin-schwarz-tirol/details-1231262
"9,900 EUR",Mazda,6,2.2 cd,"194,550 km",2013,Diesel,6,Wagon,Gray,Linz,111 kW (151 HP),Manual,https://www.zweispurig.at/mazda-mazda6-gebrauchtwagen-diesel-grau-oberoesterreich/details-1168286
"15,890 EUR",Mercedes Benz,E-Class,200 CGI BE,"162,000 km",2009,Petrol,5,Sedan,Black,Villach,137 kW (186 HP),Automatic,https://www.zweispurig.at/mercedes-benz-e-klasse-gebrauchtwagen-benzin-schwarz-kaernten/details-1230488
"16,900 EUR",Ford,Focus,1.5 TDCi,"111,500 km",2019,Diesel,6,Wagon,Orange,Salzburg,89 kW (121 HP),Manual,https://www.zweispurig.at/ford-focus-gebrauchtwagen-diesel-orange-salzburg/details-1194635
"26,365 EUR",Hyundai,I30,1.0,7 km,2024,Petrol,6,Wagon,Gray,Innsbruck,89 kW (121 HP),Manual,https://www.zweispurig.at/hyundai-i30-vorfuehrwagen-benzin-grau-tirol/details-1162997
"27,990 EUR",Jeep,Compass,1.6,"46,800 km",2022,Diesel,6,Crossover,Gray,Salzburg,97 kW (132 HP),Manual,https://www.zweispurig.at/jeep-compass-gebrauchtwagen-diesel-grau-salzburg/details-1242007
"29,990 EUR",Jeep,Compass,1.3,"34,330 km",2022,Petrol,6,Crossover,Blue,Villach,111 kW (151 HP),Automatic,https://www.zweispurig.at/jeep-compass-jahreswagen-benzin-blau-kaernten/details-1228974
"29,990 EUR",Jeep,Compass,1.3,"32,921 km",2022,Petrol,6,Crossover,Green,Villach,111 kW (151 HP),Automatic,https://www.zweispurig.at/jeep-compass-jahreswagen-benzin-gruen-kaernten/details-1228973
"31,440 EUR",Jeep,Compass,1.3,"26,220 km",2022,Petrol,,Crossover,Silver,Amstetten,97 kW (132 HP),Manual,https://www.zweispurig.at/jeep-compass-gebrauchtwagen-benzin-silber-niederoesterreich/details-1117661
"21,900 EUR",Audi,Q7,3.0 TDI,"165,000 km",2012,Diesel,,Suv,Gray,Wien,152 kW (207 HP),Automatic,https://www.bazar.at/d/01-suv/wie-1220/p-674065
"29,890 EUR",Peugeot,508,2.0 HDi,"34,000 km",2019,Diesel,6,Sedan,White,Kufstein,134 kW (182 HP),Automatic,https://www.zweispurig.at/peugeot-508-gebrauchtwagen-diesel-weiss-tirol/details-1227659
"32,490 EUR",Mercedes Benz,Glc-Class,,"129,000 km",2016,Diesel,6,Suv,White,Wien,152 kW (207 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-weiss-niederoesterreich/details-1240310
"27,890 EUR",Bmw,X3,20d,"146,621 km",2016,Diesel,5,Suv,White,Salzburg,137 kW (186 HP),Automatic,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-weiss-salzburg/details-1223833
"27,900 EUR",Audi,A3,2.0 30 TDI,"27,220 km",2022,Diesel,6,Sedan,White,Salzburg,86 kW (117 HP),Manual,https://www.zweispurig.at/audi-a3-gebrauchtwagen-diesel-weiss-salzburg/details-1251480
"63,990 EUR",Land Rover,Discovery,3.0,"60,672 km",2018,Petrol,,Suv,Black,Wiener Neustadt,253 kW (344 HP),Automatic,https://www.zweispurig.at/land-rover-discovery-gebrauchtwagen-benzin-schwarz-niederoesterreich/details-1228820
"19,890 EUR",Mercedes Benz,C-Class,180,"118,000 km",2015,Diesel,6,Sedan,White,Wien,86 kW (117 HP),Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-diesel-weiss-wien/details-1220636
"95,950 EUR",Volkswagen,California,2.0,"18,477 km",2022,Diesel,,Van,White,Graz,152 kW (207 HP),Automatic,https://www.zweispurig.at/vw-california-gebrauchtwagen-diesel-weiss-steiermark/details-1237968
"29,900 EUR",Mercedes Benz,Glc-Class,,"145,000 km",2017,Diesel,6,Suv,White,Lienz,126 kW (171 HP),Automatic,https://www.zweispurig.at/mercedes-benz-glc-gebrauchtwagen-diesel-weiss-tirol/details-1221147
"325,870 EUR",Aston Martin,Dbx,4.0,"9,718 km",2023,Petrol,6,Suv,White,Wiener Neustadt,527 kW (717 HP),Automatic,https://www.zweispurig.at/aston-martin-dbx-gebrauchtwagen-benzin-weiss-niederoesterreich/details-1252641
"24,500 EUR",Bmw,X3,xDrive20d,"190,000 km",2017,Diesel,6,Suv,Gray,Ried Im Innkreis,141 kW (192 HP),Manual,https://www.zweispurig.at/bmw-x3-gebrauchtwagen-diesel-grau-oberoesterreich/details-1207288
"29,790 EUR",Toyota,Corolla,1.8,"5,555 km",2023,Petrol,6,Sedan,Black,Wien,73 kW (99 HP),Automatic,https://www.zweispurig.at/toyota-corolla-vorfuehrwagen-benzin-schwarz-wien/details-1145708
"22,800 EUR",Opel,Grandland X,1.2,"55,000 km",2020,Petrol,,Suv,White,Eisenstadt,97 kW (132 HP),Automatic,https://www.dasweltauto.at/vehicle/20311637
"71,890 EUR",Mercedes Benz,Gle-Class,350,"79,681 km",2020,Diesel,6,Suv,White,Salzburg,202 kW (275 HP),Automatic,https://www.zweispurig.at/mercedes-benz-gle-gebrauchtwagen-diesel-weiss-salzburg/details-1185830
"47,290 EUR",Volkswagen,Tiguan,2.0,"9,626 km",2023,Diesel,6,Crossover,Gray,Wien,111 kW (151 HP),Automatic,https://www.dasweltauto.at/vehicle/15053647
"69,900 EUR",Bmw,Ix,,"6,174 km",2022,Electric,,Suv,Black,Salzburg,243 kW (330 HP),Automatic,https://www.zweispurig.at/bmw-ix-gebrauchtwagen-elektro-schwarz-salzburg/details-1177839
"14,190 EUR",Hyundai,I30,1.4,"67,900 km",2018,Petrol,,Wagon,Silver,Linz,75 kW (102 HP),Manual,https://www.gebrauchtwagen.at/fahrzeuge/hyundai-i30-cw-1-4-mpi-start-stopp-edition-25-navi-rueckfah-benzin/ba54d3a8-fca4-4552-b339-cba755cbedf2
"28,390 EUR",Audi,Q2,1.0 30 TFSI,"6,575 km",2023,Petrol,,Crossover,White,Kufstein,82 kW (112 HP),Manual,https://www.dasweltauto.at/vehicle/70700238
"23,490 EUR",Bmw,X1,xDrive18d,"95,600 km",2017,Diesel,,Suv,Silver,Linz,111 kW (151 HP),Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/510866-bmw-x1-xdrive18d-m-sporthead-up-display.html
"64,900 EUR",Land Rover,Range Rover Velar,2.0,"24,900 km",2022,Diesel,,Suv,Blue,Linz,152 kW (207 HP),Automatic,https://www.gebrauchtwagen.at/fahrzeuge/land-rover-range-rover-velar-d200-mhev-allrad-se-diesel/ca29fffd-9ecc-4edb-822a-507378917440
"11,890 EUR",Nissan,Micra,1.0,"14,800 km",2019,Petrol,6,Mini,Blue,Stockerau,75 kW (102 HP),Manual,https://www.zweispurig.at/nissan-micra-gebrauchtwagen-benzin-blau-niederoesterreich/details-1246754
"39,990 EUR",Audi,Q7,3.0,"154,500 km",2015,Diesel,6,Suv,Gray,Hallein,202 kW (275 HP),Automatic,https://www.zweispurig.at/audi-q7-gebrauchtwagen-diesel-grau-salzburg/details-1218591
"8,999 EUR",Škoda,Rapid,1.6 TDI,"113,000 km",2013,Diesel,5,Sedan,Blue,Steyr,78 kW (106 HP),Manual,https://www.zweispurig.at/skoda-rapid-gebrauchtwagen-diesel-blau-oberoesterreich/details-1235449
"15,990 EUR",Ford,Ecosport,1.0,"65,566 km",2019,Petrol,6,Suv,Gray,Hollabrunn,93 kW (126 HP),Manual,https://www.zweispurig.at/ford-ecosport-gebrauchtwagen-benzin-grau-niederoesterreich/details-1226181
"23,900 EUR",Suzuki,Vitara,1.4,"15,590 km",2023,Petrol,6,Suv,Yellow,Telfs,96 kW (131 HP),Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-gelb-tirol/details-1226738
"23,900 EUR",Suzuki,Vitara,1.4,"12,450 km",2023,Petrol,6,Suv,Gray,Telfs,96 kW (131 HP),Manual,https://www.zweispurig.at/suzuki-vitara-gebrauchtwagen-benzin-grau-tirol/details-1226729
"21,990 EUR",Mazda,Cx-30,2.0,"27,000 km",2020,Petrol,6,Crossover,Red,Salzburg,90 kW (122 HP),Manual,https://www.zweispurig.at/mazda-cx-30-gebrauchtwagen-benzin-rot-salzburg/details-1238807
"29,900 EUR",Peugeot,5008,1.2 puretech,"35,000 km",2020,Petrol,6,Mpv,Black,Graz,97 kW (132 HP),Automatic,https://www.zweispurig.at/peugeot-5008-gebrauchtwagen-benzin-schwarz-steiermark/details-1192662
"84,220 EUR",Mercedes Benz,Amg Gt,3.0 53,"150,492 km",2019,Petrol,6,Sedan,Blue,Wien,324 kW (441 HP),Semi Automatic,https://www.zweispurig.at/mercedes-benz-amg-gt-gebrauchtwagen-benzin-blau-wien/details-1199186
