Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"48,961 EUR (569,000 NOK)",Bmw,X4m,"94,820 km",2018,Petrol,Suv,Black,Stavanger,268 kW (364 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=335032381,40i
"13,681 EUR (159,000 NOK)",Volkswagen,Passat,"103,000 km",2015,Diesel,Wagon,Silver,Kolbotn,78 kW (106 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344897560,1.6 TDI
"15,402 EUR (179,000 NOK)",Volkswagen,Caddy,"57,000 km",2019,Petrol,Pickup,White,Drammen,93 kW (126 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=343882979,1.4
"29,170 EUR (339,000 NOK)",Volvo,Xc60,"113,000 km",2015,Diesel,Crossover,White,Skien,134 kW (182 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343923100,2.4 D5
"30,108 EUR (349,900 NOK)",Volvo,Xc60,"108,000 km",2015,Diesel,Crossover,Gray,Stavanger,121 kW (165 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344856247,2.4 D4 AWD
"23,921 EUR (278,000 NOK)",Volkswagen,Touran,"59,609 km",2018,Petrol,Mpv,Silver,Arendal,111 kW (151 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344662836,1.4
"13,767 EUR (159,999 NOK)",Mercedes Benz,Cls-Class,"238,400 km",2009,Diesel,Sedan,White,Porsgrunn,167 kW (227 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=345002066,320 CDI
"13,759 EUR (159,900 NOK)",Ford,Kuga,"148,000 km",2014,Diesel,Suv,Gray,Skien,104 kW (141 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=345236485,2.0 TDCi
"11,616 EUR (135,000 NOK)",Bmw,3 Series,"191,800 km",2006,Petrol,Coupe,Gray,Kongsvinger,162 kW (220 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=341708385,325i
"38,635 EUR (449,000 NOK)",Bmw,M5,"141,700 km",2005,Petrol,Sedan,Black,Oslo,378 kW (514 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=343188178,5.0 v10
"9,464 EUR (109,990 NOK)",Nissan,Nv,"109,000 km",2017,Diesel,Van,Gray,Ski,82 kW (112 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=345073170,1.5
"60,224 EUR (699,900 NOK)",Dodge,Ram 1500,"59,000 km",2020,Petrol,Pickup,Black,Ski,295 kW (401 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342170476,5.7
"145,421 EUR (1,690,000 NOK)",Porsche,911,"22,980 km",2015,Petrol,Coupe,Silver,Oslo,417 kW (567 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=275649042,3.8
"5,937 EUR (69,000 NOK)",Mazda,3,"169,000 km",2012,Diesel,Hatchback,White,Stavanger,86 kW (117 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=335880841,1.6
"5,937 EUR (69,000 NOK)",Peugeot,3008,"227,900 km",2011,Diesel,Crossover,White,Oslo,82 kW (112 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=321420334,1.6
"77,357 EUR (899,000 NOK)",Chevrolet,Camaro,"15,698 km",2017,Petrol,Coupe,Gray,Oslo,343 kW (466 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=310887734,6.2
"8,518 EUR (99,000 NOK)",Ford,Transit,"167,000 km",2015,Diesel,Van,White,Drammen,93 kW (126 HP),Manual,https://www.finn.no/car/used/ad.html?finnkode=343078445,2.2
"23,060 EUR (268,000 NOK)",Tesla,Model S,"120,000 km",2018,Electric,Sedan,Silver,Oslo,391 kW (532 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=337467541,electro
"11,960 EUR (139,000 NOK)",Toyota,Avensis,"152,000 km",2013,Petrol,Wagon,Red,Jessheim,109 kW (148 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=344706534,1.8 VVT-i
"34,333 EUR (399,000 NOK)",Audi,A6,"147,475 km",2015,Diesel,Wagon,Blue,Gjøvik,202 kW (275 HP),Automatic,https://www.finn.no/car/used/ad.html?finnkode=342055488,3.0 TDI Quattro
