Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"16,097 EUR (6,390,000 HUF)",Peugeot,3008,,"142,530 km",2020,Electric,,Crossover,,,96 kW (131 HP),,https://usedcars.leaseplan.com/hu-hu/peugeot-3008/1621021-hu-peugeot-3008.html
"27,685 EUR (10,990,000 HUF)",Audi,Q5,,"64,268 km",2019,,,Suv,Red,,120 kW (163 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/audi-q5/1505589-hu-audi-q5.html
"23,403 EUR (9,290,000 HUF)",Volkswagen,Passat,,"67,692 km",2021,,,Wagon,Black,,110 kW (150 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-passat-variant/1678629-hu-volkswagen-passatvariant.html
"40,029 EUR (15,890,000 HUF)",Volvo,Xc60,,"65,647 km",2020,,,Crossover,Black,,184 kW (250 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volvo-xc60/1598196-hu-volvo-xc60.html
"18,364 EUR (7,290,000 HUF)",Mazda,6,,"87,081 km",2020,,,Wagon,Red,,110 kW (150 HP),,https://usedcars.leaseplan.com/hu-hu/mazda-mazda6/1588166-hu-mazda-mazda6.html
"30,205 EUR (11,990,000 HUF)",Audi,A6,,"136,839 km",2019,,,Sedan,Black,,150 kW (204 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/audi-a6/1585939-hu-audi-a6.html
"31,212 EUR (12,390,000 HUF)",Volvo,Xc60,,"122,228 km",2020,,,Crossover,Black,,145 kW (197 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volvo-xc60/1609017-hu-volvo-xc60.html
"31,464 EUR (12,490,000 HUF)",Volvo,Xc60,,"92,178 km",2020,,,Crossover,Brown,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volvo-xc60/1594778-hu-volvo-xc60.html
"20,128 EUR (7,990,000 HUF)",Volkswagen,Passat,,"74,727 km",2019,,,Wagon,Black,,110 kW (150 HP),,https://usedcars.leaseplan.com/hu-hu/volkswagen-passat-variant/1554329-hu-volkswagen-passatvariant.html
"16,097 EUR (6,390,000 HUF)",Volkswagen,Passat,,"139,300 km",2017,,,Wagon,Black,,110 kW (150 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-passat/1736324-hu-volkswagen-passat.html
"22,647 EUR (8,990,000 HUF)",Volkswagen,Polo,1.0 tsi,0 km,2024,Petrol,,Hatchback,White,Kisvárda,70 kW (95 HP),Manual,https://www.szalonauto.hu/szemelyauto/volkswagen/polo_vi/volkswagen_polo_vi_1.0_tsi_style_iq_light_led_matrix_2_zonas_digit_klma_tolato_kamera_keszletrol-20267380
"23,907 EUR (9,490,000 HUF)",Lexus,Nx,300h,"102,915 km",2018,Hybrid,,Suv,White,Budakalász,114 kW (155 HP),Automatic,https://joautok.hu/hasznaltauto/lexus/nx/nx-300h-comfort-cvt-mo-i-103e-km-vezetett-szervizkonyv-gyongyhaz-feher-teli-gumi-riaszto-afa-s-3/evez97z/
"13,853 EUR (5,499,000 HUF)",Toyota,Corolla,1.6,"117,479 km",2019,Petrol,,Sedan,Gray,,97 kW (132 HP),Manual,https://joautok.hu/hasznaltauto/toyota/corolla/corolla-sedan-16-classic-magyar-1-tulaj-vezetett-szervizkonyves-teli-nyari-kerek-garnituraval/ejmec9b/
"7,303 EUR (2,899,000 HUF)",Škoda,Octavia,2.0 rs tfsi,"270,261 km",2012,Petrol,,,Gray,,147 kW (200 HP),Manual,https://joautok.hu/hasznaltauto/skoda/octavia/octavia-20-tfsi-rs-frissen-szervizelt-szervizkonyves-3/ev8yhrk/
"20,128 EUR (7,990,000 HUF)",Mazda,3,2.0 SKYACTIV,"30,947 km",2021,Petrol,,Hatchback,Gray,,90 kW (122 HP),Manual,https://joautok.hu/hasznaltauto/mazda/mazda-3/3-hatchback-20-skyactiv-plus-magyar-1-tulaj-vezetett-szervizkonyves-1/k2r74wv/
"11,563 EUR (4,590,000 HUF)",Ford,Focus,1.6,"129,473 km",2018,Petrol,,Wagon,White,Budakalász,92 kW (125 HP),Manual,https://joautok.hu/hasznaltauto/ford/focus/focus-16-ti-vct-technology-mo-i-129e-km-vezszkonyv-teli-gumi-elso-hatso-radar-park-assist-afa-s-3/svkwwnv/
"11,311 EUR (4,490,000 HUF)",Renault,Megane,1.5 dCi,"167,197 km",2019,Diesel,,Wagon,Gray,Budakalász,85 kW (116 HP),Manual,https://joautok.hu/hasznaltauto/renault/megane/megane-grandtour-15-blue-dci-intens-mo-i-167e-km-vezerles-cserelve-ules-es-kormanyfutes-navi-tolatoradar-afa-s/sgrtu3r/
"34,253 EUR (13,597,000 HUF)",Peugeot,508,1.6 puretech,1 km,2024,Petrol,,Sedan,,Kecskemét,97 kW (132 HP),Automatic,https://joautok.hu/hasznaltauto/peugeot/508/508-12-puretech-allure-eat8-rovid-gyartasi-ido-ev-indito-kedvezmenyek/s3h5g9y/
"21,387 EUR (8,490,000 HUF)",Audi,A4,,"33,586 km",2018,,,Sedan,,,110 kW (150 HP),,https://usedcars.leaseplan.com/hu-hu/audi-a4/1472952-hu-audi-a4.html
"19,120 EUR (7,590,000 HUF)",Volkswagen,Passat,,"167,282 km",2019,,,Wagon,,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-passat-variant/1542226-hu-volkswagen-passatvariant.html
"35,243 EUR (13,990,000 HUF)",Bmw,X3,,"34,599 km",2019,,,Suv,,,140 kW (190 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/bmw-x3/1567016-hu-bmw-x3.html
"43,556 EUR (17,290,000 HUF)",Audi,A6,,"47,753 km",2021,,,Wagon,,,180 kW (245 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/audi-a6-avant/1629701-hu-audi-a6avant.html
"21,136 EUR (8,390,000 HUF)",Audi,A4,,"55,473 km",2019,,,Sedan,,,140 kW (190 HP),,https://usedcars.leaseplan.com/hu-hu/audi-a4/1529738-hu-audi-a4.html
"21,136 EUR (8,390,000 HUF)",Volkswagen,Sharan,,"159,483 km",2019,,,Van,,,130 kW (177 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/volkswagen-sharan/1561297-hu-volkswagen-sharan.html
