Make,Model,Trim,Year,Mileage(km),kW,Fuel type,Body type,Color,Transmission,Emission standard,Country,City,Price(EUR)
Kia,Sportage,1.6 gdi,2016,163700,98.0,Petrol,Crossover,Gray,Manual,6,Austria,Linz,12990.0
Audi,A4,2.0 tdi quattro,2009,284000,106.0,Diesel,Sedan,White,Manual,5,Austria,Steyr,7499.0
Mercedes Benz,Cls-Class,350 cdi,2012,237000,197.0,Diesel,Sedan,Gray,Automatic,5,Austria,Steyr,22499.0
Audi,E-Tron,55 quattro,2023,5,268.0,Electric,Suv,Black,Manual,6,Austria,Villach,65990.0
Audi,A3,2.0,2020,53391,111.0,Diesel,Sedan,Blue,Automatic,6,Austria,Leoben,21990.0
Škoda,Octavia,2.0 rs tdi,2018,147000,137.0,Diesel,Wagon,Black,Automatic,6,Austria,Steyr,19499.0
Bmw,X3,xdrive20d,2022,40000,141.0,Diesel,Suv,Gray,Automatic,6,Austria,Salzburg,54890.0
Volkswagen,Tiguan,2.0 tdi 4motion,2018,143500,141.0,Diesel,Crossover,Red,Automatic,6,Austria,Spittal An Der Drau,26900.0
Volkswagen,Tiguan,1.4 tsi,2018,121217,93.0,Petrol,Crossover,Blue,Manual,6,Austria,Leonding,21890.0
Alfa Romeo,Stelvio,2.2,2023,50,155.0,Diesel,Crossover,White,Automatic,6,Austria,Wels,54900.0
Volkswagen,California,2.0,2020,79369,111.0,Diesel,Van,Gray,Automatic,6,Austria,Dornbirn,69990.0
Audi,A3,1.0 30 tfsi,2024,201,82.0,Petrol,Sedan,Gray,Automatic,6,Austria,Eisenstadt,32495.0
Audi,A3,1.0 30 tfsi,2024,201,82.0,Petrol,Sedan,Black,Automatic,6,Austria,Eisenstadt,31499.0
Mercedes Benz,Gle-Class,400,2023,2500,246.0,Diesel,Suv,Black,Automatic,6,Austria,Schwechat,79999.0
Peugeot,2008,1.2 puretech,2022,14000,97.0,Petrol,Crossover,Gray,Manual,6,Austria,Leoben,24590.0
Škoda,Octavia,2.0 rs tdi,2019,119600,137.0,Diesel,Wagon,White,Automatic,6,Austria,Telfs,26984.0
Škoda,Octavia,1.6 tdi,2019,115000,86.0,Diesel,Wagon,Gray,Automatic,6,Austria,Steyr,17250.0
Škoda,Octavia,1.6 tdi,2019,106300,86.0,Diesel,Wagon,Gray,Automatic,6,Austria,Stockerau,16490.0
Renault,Clio,0.9 tce,2017,98000,67.0,Petrol,Wagon,Gray,Manual,6,Austria,Steyr,9450.0
Bmw,5 Series,525i,2005,158600,131.0,Diesel,Sedan,Black,Automatic,4,Austria,Leoben,11900.0
Kia,Stinger,3.3 t-gdi,2019,33800,275.0,Petrol,Sedan,White,Automatic,6,Austria,Schwaz,38900.0
Renault,Trafic,1.6,2018,95400,90.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,20970.0
Renault,Trafic,1.6 dci,2018,94200,89.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,18960.0
Renault,Trafic,1.6 dci,2018,54950,89.0,Diesel,Van,White,Manual,6,Austria,Spittal An Der Drau,20970.0
Seat,Arona,1.0 tsi,2023,260,70.0,Petrol,Crossover,White,Manual,6,Austria,Wien,23430.0
Seat,Arona,1.0 tsi,2023,100,82.0,Petrol,Crossover,White,Automatic,6,Austria,Wien,31500.0
Seat,Arona,1.0 tsi,2023,100,82.0,Petrol,Crossover,Red,Automatic,6,Austria,Wien,30500.0
Seat,Arona,1.0 tsi,2023,100,82.0,Petrol,Crossover,Gray,Automatic,6,Austria,Klagenfurt,29490.0
Jeep,Cj5,3.1,2007,106300,162.0,Petrol,Suv,Gray,Automatic,4,Austria,Enns,21490.0
Cupra,Leon,2.0 tsi,2023,2978,182.0,Petrol,Wagon,White,Automatic,6,Austria,Graz,36990.0
Volvo,Xc90,2.0,2019,53300,175.0,Diesel,Suv,Black,Automatic,6,Austria,Salzburg,46990.0
Land Rover,Range Rover,4.4 sdv8,2018,99000,253.0,Diesel,Suv,Gray,Automatic,6,Austria,Salzburg,82500.0
Volkswagen,Golf,1.2,2016,77000,82.0,Diesel,Sedan,Black,Automatic,6,Austria,Salzburg,14990.0
Volkswagen,Golf,2.0 r,2016,61900,223.0,Petrol,Sedan,Black,Automatic,6,Austria,Linz,27870.0
Volkswagen,Golf,2.0,2016,59990,82.0,Diesel,Convertible,White,Manual,6,Austria,Telfs,19900.0
Land Rover,Evoque,2.0,2018,93500,111.0,Diesel,Suv,Gray,Automatic,6,Austria,Rankweil,25450.0
