Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Hyundai,Ioniq,2017,Electric,Sedan,Black,Rask Mølle,Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/ioniq/ev-premium-5d/5938550,premium,6,18111,125000,89.0,Denmark
Nissan,Qashqai,2023,Petrol,Crossover,Gray,Ballerup,Automatic,https://www.bilbasen.dk/brugt/bil/nissan/qashqai/13-mhev-tekna-x-tr-5d/5933825,1.3,6,48028,7800,117.0,Denmark
Bmw,X5,2014,Diesel,Suv,Black,Roskilde,Automatic,https://www.bilbasen.dk/brugt/bil/bmw/x5/30-xdrive40d-aut-5d/6012849,xDrive40d,6,49505,284000,233.0,Denmark
Volvo,V70,2012,Diesel,Wagon,Black,Hillerød,Manual,https://www.bilbasen.dk/brugt/bil/volvo/v70/16-drive-5d/6066674,1.6,5,12047,261000,85.0,Denmark
Ford,Mustang Mach-E,2023,Electric,Crossover,Blue,Varde,Automatic,https://www.bilbasen.dk/brugt/bil/ford/mustang-mach-e/gt-extended-range-awd-5d/5768730,GT,6,73774,500,363.0,Denmark
Porsche,Macan,2016,Diesel,Suv,NA,Kastrup,Automatic,https://www.bilbasen.dk/brugt/bil/porsche/macan-s/30-d-pdk-5d/6091200,3.0 s,6,83178,159000,192.0,Denmark
Porsche,911,2020,Petrol,Coupe,Black,Vejle,Automatic,https://www.bilbasen.dk/brugt/bil/porsche/911-carrera/30-coup-pdk-2d/6027843,3.0,6,107193,39000,287.0,Denmark
Volvo,Xc40,2021,Hybrid,Crossover,Black,Tørring,Automatic,https://www.autouncle.dk/en/d/4736460-used-volvo-xc40-1-5-t5-twin-engine-plugin-hybrid-inscription-expression-262hk-5d-7g-aut,1.5 T5 Recharge,6,46942,59000,195.0,Denmark
Toyota,Verso,2014,Petrol,Mpv,Red,Bramming,Automatic,https://www.bilbasen.dk/brugt/bil/toyota/verso/18-vvt-i-t2-vision-mds-7prs-5d/6014769,1.8 VVT-i,6,18755,150000,109.0,Denmark
Kia,Picanto,2013,Petrol,Mini,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/c1743312-a170-4b91-929b-c17cd8a5baf9,1.0,5,4950,164000,51.0,Denmark
Bmw,3 Series,2019,Diesel,Sedan,Black,Sønderborg,Automatic,https://www.bilbasen.dk/brugt/bil/bmw/320d/20-executive-aut-4d/5888110,320d,6,31514,51700,141.0,Denmark
Volkswagen,Touran,2019,Diesel,Mpv,White,Horsens,Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-iqdrive-dsg-7prs-5d/6033428,1.6 TDI,6,29501,120000,85.0,Denmark
Ford,S-Max,2014,Diesel,Mpv,White,Ringkøbing,Automatic,https://bilhandel.dk/ford-s-max-20-tdci-163-titanium-aut-7prs/id-1554830,2.0 TDCi,6,16729,173000,163.0,Denmark
Kia,Picanto,2018,Petrol,Mini,Gray,Holbæk,Manual,https://www.bilbasen.dk/brugt/bil/kia/picanto/10-mpi-gt-line-5d/6072601,1.0 mpi,6,14059,77000,49.0,Denmark
Nissan,Qashqai,2023,Petrol,Crossover,Gray,Sorø,Automatic,https://www.bilbasen.dk/brugt/bil/nissan/qashqai/13-mhev-acenta-x-tr-5d/6017280,1.3,6,44661,19,117.0,Denmark
Peugeot,2008,2022,Petrol,Crossover,Black,Brovst,Manual,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-2-puretech-platin-sport-130hk-5d/7ad3e641-3a3e-4743-8a83-42a5ceee0188,1.2 puretech,6,36209,500,96.0,Denmark
Volkswagen,Golf,1993,Petrol,Convertible,Red,Otterup,Manual,https://www.guloggratis.dk/annonce/3f4833ea-a3db-4356-87a1-17ae983d9d67,1.6,1,4695,14,55.0,Denmark
Nissan,Leaf,2012,Electric,Hatchback,White,Odense,Automatic,https://www.bilbasen.dk/brugt/bil/nissan/leaf/24-visia-5d/6086986,Visia,5,9257,43000,81.0,Denmark
Bmw,X1,2020,Diesel,Suv,Black,Silkeborg,Automatic,https://www.bilbasen.dk/brugt/bil/bmw/x1/20-sdrive18d-m-sport-aut-5d/6074972,sDrive18d,6,40241,102000,111.0,Denmark
Mercedes Benz,Eqb,2022,Electric,Hatchback,White,København,Automatic,https://www.bilbasen.dk/brugt/bil/mercedes/eqb250/electric-art-5d/6004032,250,6,46942,16000,141.0,Denmark
Toyota,Aygo X,2015,Petrol,Mini,White,Hemmet,Manual,https://www.guloggratis.dk/annonce/e1c5e85a-06af-4233-9406-9196db9395c5,1.0,6,9243,94000,51.0,Denmark
