Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"3,922 EUR (98,999 CZK)",Volkswagen,Golf Plus,1.9 TDI,"219,563 km",2006,Diesel,Hatchback,Silver,Líně,77 kW (105 HP),Manual,https://yauto.cz/volkswagen/golf-plus/19-bez-koroze-hatchback-nafta-824285/,
"22,586 EUR (570,000 CZK)",Volkswagen,Tiguan Allspace,2.0,"209,646 km",2018,Diesel,Crossover,White,Praha,176 kW (239 HP),Automatic,https://www.sauto.cz/osobni/detail/volkswagen/tiguan-allspace/204542712,
"20,962 EUR (529,000 CZK)",Volvo,V60,2.4 D4 AWD,"99,734 km",2017,Diesel,Wagon,Beige,Liberec,140 kW (190 HP),Automatic,https://www.annonce.cz/inzerat/volvo-v60-d4-awd-2-4-72413161-wk2sgc.html,
"31,621 EUR (798,000 CZK)",Mercedes Benz,Gl-Class,,"145,391 km",2015,Diesel,Suv,White,Znojmo,190 kW (258 HP),Automatic,https://www.sauto.cz/osobni/detail/mercedes-benz/gl/205299000,
"19,773 EUR (499,000 CZK)",Porsche,Cayenne,4.8 S,"199,463 km",2012,Petrol,Suv,Black,Vysokov,294 kW (400 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Porsche/Cayenne/Cayenne-S-4-8-V8-Vz-SUV-170310800122020.html,
"34,866 EUR (879,900 CZK)",Škoda,Kodiaq,2.0 dsg tdi,"47,792 km",2020,Diesel,Suv,Blue,Ostrava,140 kW (190 HP),Automatic,http://auto.rychle.cz/osobni-auto-O/Skoda/Kodiaq/Kodiaq-2.0-TDi-140-SUV-170326469867562.html,
"4,556 EUR (114,999 CZK)",Jeep,Cherokee,2.5 CRD,"188,456 km",2004,Diesel,Suv,Black,Brno,105 kW (143 HP),Manual,https://yauto.cz/jeep/cherokee/25-crd-sport-kombi-nafta-856293/,
"7,687 EUR (194,000 CZK)",Volkswagen,Golf,1.6 TDI,"138,314 km",2012,Diesel,Hatchback,Gray,Tábor,77 kW (105 HP),Manual,https://www.sauto.cz/osobni/detail/volkswagen/golf/202348876,
"18,980 EUR (479,000 CZK)",Volvo,Xc60,2.4 D4 AWD,"119,655 km",2014,Diesel,Crossover,Blue,Liberec,140 kW (190 HP),Automatic,https://www.annonce.cz/inzerat/volvo-xc60-d4-awd-2-4-72885449-wnjeap.html,
"13,868 EUR (349,990 CZK)",Volkswagen,Touareg,3.0 TDI,"298,000 km",2011,Diesel,Suv,Black,Rajhrad,180 kW (245 HP),Automatic,https://www.cars.cz/inzerce/osobni-auto-O/Volkswagen/Touareg/Touareg-9-11-3-0TDI-SUV-1704723529842164.html,
"39,622 EUR (999,900 CZK)",Volkswagen,Tiguan,1.5 tsi,"21,763 km",2023,Petrol,Crossover,Gray,Praha,110 kW (150 HP),Automatic,https://www.automodul.cz/volkswagen-tiguan-1-5-tsi-110-kw-dsg-life-allspa-c2621080,
