Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Emission standard,Price(EUR),Mileage(km),kW,Country
Volvo,Xc90,2020,Petrol,Suv,Silver,Thalwil,Automatic,https://www.autolina.ch/auto/volvo-xc90/4031651,2.0 T8,6,61129,90000,225.0,Switzerland
Ford,Galaxy,2021,Diesel,Mpv,Blue,Wohlen,Automatic,https://www.autolina.ch/auto/ford-galaxy/4093176,2.0 TDCi,6,40602,28132,141.0,Switzerland
Volvo,Xc40,2019,Diesel,Crossover,Black,Wohlen,Automatic,https://www.autolina.ch/auto/volvo-xc40/4110760,2.0 D4 AWD,6,32616,87800,142.0,Switzerland
Ford,Transit,2024,Petrol,Van,White,Wohlen,Automatic,https://www.autolina.ch/auto/ford-transit-connect/4094618,1.6,6,40874,10,75.0,Switzerland
Ford,Transit,2023,Petrol,Van,White,Wohlen,Automatic,https://www.autolina.ch/auto/ford-transit-connect/3947177,1.6,6,39385,10,75.0,Switzerland
Tesla,Model S,2016,Electric,Sedan,White,St Gallen,Automatic,https://www.autolina.ch/auto/tesla-model-s/4111078,electro,6,31127,129900,391.0,Switzerland
Toyota,Yaris,2007,Petrol,Sedan,Silver,Wil,Manual,https://www.autolina.ch/auto/toyota-yaris/4068562,1.3 vvt-i,4,6144,137500,64.0,Switzerland
Ford,Kuga,2019,Diesel,Suv,Gray,Zug,Automatic,https://www.autolina.ch/auto/ford-kuga/4092132,2.0 TDCi,6,25930,66500,134.0,Switzerland
Ford,Kuga,2019,Diesel,Suv,White,Wohlen,Automatic,https://www.autolina.ch/auto/ford-kuga/4076966,2.0 TDCi,6,26399,38100,111.0,Switzerland
Cupra,Formentor,2021,Petrol,Crossover,Black,St Gallen,Automatic,https://www.autolina.ch/auto/cupra-formentor/4111073,2.0 tsi vz,6,38000,68500,231.0,Switzerland
Cupra,Formentor,2021,Petrol,Crossover,White,St Gallen,Automatic,https://www.autolina.ch/auto/cupra-formentor/4055613,2.0 tsi vz,6,39458,58500,231.0,Switzerland
Cupra,Formentor,2021,Petrol,Crossover,Gray,Zug,Automatic,https://www.autolina.ch/auto/cupra-formentor/4064757,2.0 tsi vz,6,36438,26500,231.0,Switzerland
Tesla,Model S,2017,Electric,Sedan,Blue,St Gallen,Automatic,https://www.autolina.ch/auto/tesla-model-s/4093368,electro,6,46331,103700,575.0,Switzerland
Land Rover,Evoque,2012,Diesel,Suv,White,Basel,Manual,https://www.autolina.ch/auto/land-rover-range-rover-evoque/4063872,2.2,5,14569,148000,111.0,Switzerland
Ford,Kuga,2012,Diesel,Suv,White,Basel,Automatic,https://www.autolina.ch/auto/ford-kuga/4113481,2.0 TDCi,5,14267,107000,121.0,Switzerland
Nissan,Qashqai,2021,Petrol,Crossover,Blue,St Gallen,Automatic,https://www.autolina.ch/auto/nissan-qashqai/4117344,1.3 DIG-T,6,30085,23700,117.0,Switzerland
Land Rover,Evoque,2014,Diesel,Suv,White,Zurich,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-evoque/4096255,2.2,6,19682,145000,141.0,Switzerland
Mitsubishi,Asx,2019,Petrol,Crossover,Gray,Stans,Automatic,https://www.autolina.ch/auto/mitsubishi-asx/4104608,2.0,6,20619,98000,111.0,Switzerland
Tesla,Model X,2020,Electric,Suv,Red,St Gallen,Automatic,https://www.autolina.ch/auto/tesla-model-x/4055584,electro,6,67471,61800,593.0,Switzerland
Volvo,Xc40,2018,Petrol,Crossover,Black,Stäfa,Manual,https://www.autolina.ch/auto/volvo-xc40/4114141,1.5 T3,6,26763,47200,116.0,Switzerland
Volkswagen,Sharan,2012,Diesel,Van,Brown,Basel,Automatic,https://www.autolina.ch/auto/vw-sharan/4105662,2.0 TDI,5,16558,156000,126.0,Switzerland
Mini,Clubman,2010,Petrol,Mpv,Beige,Basel,Automatic,https://www.autolina.ch/auto/mini-clubman/4049688,1.6 Cooper S,5,9268,131000,137.0,Switzerland
Porsche,Cayenne,2017,Petrol,Suv,Black,Basel,Automatic,https://www.autolina.ch/auto/porsche-cayenne/4087511,3.6 gts,6,51965,88000,328.0,Switzerland
Volvo,Xc90,2019,Petrol,Suv,White,Basel,Automatic,https://www.autolina.ch/auto/volvo-xc90/4083960,2.0 T5 AWD,6,44769,77000,186.0,Switzerland
Jaguar,Xf,2018,Diesel,Wagon,White,Wohlen,Automatic,https://www.autolina.ch/auto/jaguar-xf/4074504,2.0,6,31230,52000,179.0,Switzerland
Mercedes Benz,C-Class,2012,Petrol,Sedan,Blue,Basel,Manual,https://www.autolina.ch/auto/mercedes-benz-c-200/4103526,200,5,16349,89000,137.0,Switzerland
Volkswagen,Taigo,2024,Petrol,Crossover,Silver,Wetzikon,Automatic,https://www.autolina.ch/auto/vw-taigo/3957584,1.0 tsi,6,39364,11,82.0,Switzerland
Nissan,Juke,2014,Petrol,Crossover,White,Zurich,Automatic,https://www.autolina.ch/auto/nissan-juke/4092035,1.6 Nismo,6,18734,44700,149.0,Switzerland
Land Rover,Velar,2019,Petrol,Suv,White,Stäfa,Automatic,https://www.autolina.ch/auto/land-rover-range-rover-velar/4099153,2.0,6,50819,72000,186.0,Switzerland
Volvo,Xc90,2018,Petrol,Suv,Gray,Zurich,Automatic,https://www.autolina.ch/auto/volvo-xc90/4087936,2.0 T5 AWD,6,47893,53450,186.0,Switzerland
Jeep,Grand Cherokee,2016,Diesel,Suv,Black,St Gallen,Automatic,https://www.autolina.ch/auto/jeep-grand-cherokee/4106163,6.4 SRT8,6,28002,106600,186.0,Switzerland
Peugeot,107,2011,Petrol,Mini,Gray,Basel,Manual,https://www.autolina.ch/auto/peugeot-107/4113486,1.0,5,4009,149000,50.0,Switzerland
Kia,Sportage,2018,Petrol,Crossover,Gray,St Gallen,Automatic,https://www.autolina.ch/auto/kia-sportage/4111055,1.6 T-GDi,6,25503,86300,131.0,Switzerland
Jeep,Grand Cherokee,2017,Petrol,Suv,Gray,Altstätten,Automatic,https://www.autolina.ch/auto/jeep-grand-cherokee/4088614,6.4 SRT8,6,31137,114000,186.0,Switzerland
Honda,Jazz,2019,Petrol,Hatchback,Gray,Stans,Automatic,https://www.autolina.ch/auto/honda-jazz/4112962,1.3 i-VTEC,6,17599,63000,76.0,Switzerland
Jeep,Grand Cherokee,2018,Diesel,Suv,Black,Kriens,Automatic,https://www.autolina.ch/auto/jeep-grand-cherokee/4102624,3.0 crd,6,31137,111500,186.0,Switzerland
Seat,Leon,2016,Petrol,Hatchback,Red,Wetzikon,Automatic,https://www.autolina.ch/auto/seat-leon/4010734,2.0 TSI Cupra,6,18536,138000,216.0,Switzerland
Bmw,X1,2014,Diesel,Suv,Gray,Basel,Automatic,https://www.autolina.ch/auto/bmw-x1/4105663,20d,6,16651,139000,137.0,Switzerland
Ford,Fiesta,2019,Petrol,Sedan,Blue,Sursee,Manual,https://www.autolina.ch/auto/ford-fiesta/4111884,1.0 EcoBoost,6,17589,76400,93.0,Switzerland
Seat,Leon,2018,Petrol,Hatchback,Gray,Stäfa,Automatic,https://www.autolina.ch/auto/seat-leon/4080115,2.0 TSI Cupra,6,28638,115100,223.0,Switzerland
Tesla,Model S,2016,Electric,Sedan,Black,Stäfa,Automatic,https://www.autolina.ch/auto/tesla-model-s/4063420,electro,6,47695,92900,575.0,Switzerland
Seat,Leon,2019,Petrol,Hatchback,Blue,St Gallen,Manual,https://www.autolina.ch/auto/seat-leon/4062292,1.5 tsi,6,19671,79500,111.0,Switzerland
Volvo,Xc60,2018,Diesel,Crossover,White,St Gallen,Automatic,https://www.autolina.ch/auto/volvo-xc60/4105898,2.0 D4 AWD,6,30710,107100,141.0,Switzerland
Audi,A3,2019,Petrol,Sedan,Black,Zurich,Manual,https://www.autolina.ch/auto/audi-a3/4107926,1.5 35 TFSI,6,20202,89500,111.0,Switzerland
Volkswagen,Transporter,2016,Diesel,Van,White,Basel,Automatic,https://www.autolina.ch/auto/vw-t6-california/4076257,2.0 TDI,6,50924,137000,152.0,Switzerland
