Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Peugeot,2008,1.2 puretech,2019,Petrol,Crossover,Blue,Wien,Manual,https://www.zweispurig.at/peugeot-2008-gebrauchtwagen-benzin-blau-wien/details-1210251,15690,31100,85.0,6,Austria
Audi,A4,2.0,2012,Diesel,Wagon,Gray,Salzburg,Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-grau-salzburg/details-1235307,10490,180030,89.0,5,Austria
Hyundai,Ix35,2.0,2012,Diesel,Crossover,Gray,Braunau Am Inn,Manual,https://www.zweispurig.at/hyundai-ix35-gebrauchtwagen-diesel-grau-oberoesterreich/details-1212368,10499,119000,101.0,5,Austria
Audi,A4,1.8 TFSI,2013,Petrol,Sedan,Black,Wien,Manual,https://www.zweispurig.at/audi-a4-gebrauchtwagen-benzin-schwarz-wien/details-1213421,14890,168000,126.0,5,Austria
Bmw,5 Series,525i,2006,Diesel,Sedan,Gray,Wien,Manual,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-grau-wien/details-1236291,9890,205000,131.0,4,Austria
Seat,Arona,1.0,2018,Petrol,Crossover,Red,Salzburg,Automatic,https://www.zweispurig.at/seat-arona-gebrauchtwagen-benzin-rot-salzburg/details-1224937,18800,59000,86.0,6,Austria
Škoda,Kamiq,1.0 tsi,2022,Petrol,Suv,Gray,Innsbruck,Manual,https://www.dasweltauto.at/vehicle/670102190,23990,7000,70.0,6,Austria
Škoda,Octavia,2.0 TDI,2020,Diesel,Wagon,White,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510102-skoda-octavia-combi-tdi-premium-led-navi-acc.html,19850,110000,86.0,6,Austria
Ford,Mondeo,2.0 TDCi,2017,Diesel,Wagon,Black,Salzburg,Automatic,https://www.zweispurig.at/ford-mondeo-gebrauchtwagen-diesel-schwarz-salzburg/details-1181784,18990,82905,134.0,6,Austria
Škoda,Scala,1.0 tsi,2019,Petrol,Sedan,Red,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/skoda-scala-tsi-led-sitzheizung-einparkhilfe-benzin/3cfb1f71-6df3-48db-9b4e-6a56aa8ab974,14850,50000,86.0,6,Austria
Audi,A4,2.0 TDI,2017,Diesel,Wagon,Black,Steyr,Manual,https://www.gebrauchtwagen.at/fahrzeuge/audi-a4-avant-2-0-tdi-sport-s-line-led-xenon-pdc-diesel/71025551-3121-4482-8dce-05bbe255a473,17850,199000,111.0,6,Austria
Audi,A4,2.0,2017,Diesel,Wagon,Black,Braunau Am Inn,Automatic,https://www.zweispurig.at/audi-a4-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1231326,16499,199000,111.0,6,Austria
Peugeot,308,1.5 HDI,2018,Diesel,Wagon,Blue,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511345-peugeot-308-sw-hdi-130-allure-ss-navi-kamera-acc.html,13750,125000,97.0,6,Austria
Peugeot,3008,1.6,2015,Diesel,Crossover,Gray,Salzburg,Automatic,https://www.zweispurig.at/peugeot-3008-gebrauchtwagen-diesel-grau-salzburg/details-1203088,13900,105000,89.0,6,Austria
Opel,Antara,2.4,2016,Petrol,Crossover,Black,Braunau Am Inn,Manual,https://www.zweispurig.at/opel-antara-gebrauchtwagen-diesel-schwarz-oberoesterreich/details-1217223,14499,117000,126.0,6,Austria
Peugeot,308,1.2 vti,2019,Petrol,Wagon,White,Steyr,Automatic,https://www.gebrauchtwagen-markt.at/autoboerse/511374-peugeot-308-sw-130-allure-aut-pdc-kamera.html,14850,100000,97.0,6,Austria
Bmw,5 Series,520d,2011,Diesel,Wagon,Gray,Steyr,Automatic,https://www.zweispurig.at/bmw-5er-gebrauchtwagen-diesel-grau-oberoesterreich/details-1224405,12499,223000,137.0,5,Austria
