Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Trim
"40,180 EUR (299,500 DKK)",Mercedes Benz,C-Class,"125,000 km",2019,Diesel,Hatchback,White,Bredebro,144 kW (196 HP),Automatic,https://www.autouncle.dk/en/d/4640308-used-mercedes-c220-d-avantgarde-stc-aut,220 D
"18,768 EUR (139,900 DKK)",Kia,Picanto,"21,000 km",2022,Petrol,Mini,Yellow,Brøndby,49 kW (67 HP),Automatic,https://usedcars.leaseplan.com/da-dk/kia-picanto/2357439-dk-kia-picanto.html,1.0
"26,831 EUR (200,000 DKK)",Audi,Q5,"178,000 km",2011,Diesel,Suv,Black,Gadstrup,178 kW (242 HP),Automatic,https://www.guloggratis.dk/annonce/643951f1-0f9f-4a02-ab09-0cf69e2a8287,3.0 TDI Quattro
"26,161 EUR (195,000 DKK)",Ford,C-Max,"80,000 km",2015,Diesel,Mpv,White,Gadstrup,111 kW (151 HP),Automatic,https://www.bilbasen.dk/brugt/bil/ford/c-max/15-scti-150-titanium-aut-5d/5565176,1.5
"28,160 EUR (209,900 DKK)",Hyundai,Kona,"18,000 km",2021,Electric,Crossover,White,Brøndby,152 kW (207 HP),Automatic,https://usedcars.leaseplan.com/da-dk/hyundai-kona/2404957-dk-hyundai-kona.html,electric
"38,892 EUR (289,900 DKK)",Peugeot,5008,"105,000 km",2020,Diesel,Mpv,White,Silkeborg,130 kW (177 HP),Automatic,https://bilhandel.dk/peugeot-5008-15-bluehdi-130-allure-ltd-eat8-7prs/id-1542278,1.5 bluehdi
"72,379 EUR (539,500 DKK)",Volkswagen,Tiguan,"94,000 km",2018,Diesel,Crossover,,Bredebro,240 kW (326 HP),Automatic,https://bilhandel.dk/vw-tiguan-20-tdi-240-r-line-dsg-4motion/id-1577890,2.0 TDI
"20,110 EUR (149,900 DKK)",Renault,Zoe,"25,000 km",2021,Electric,Mini,White,Sorø,80 kW (109 HP),Automatic,https://www.bilbasen.dk/brugt/bil/renault/zoe/52-zen-5d/6075477,
"4,024 EUR (29,999 DKK)",Hyundai,I20,"305,000 km",2015,Diesel,Hatchback,White,Hemmet,55 kW (75 HP),Manual,https://www.guloggratis.dk/annonce/5294a100-f56c-404a-bd1c-0b854c13dd36,1.1
"18,111 EUR (135,000 DKK)",Hyundai,Ioniq,"125,000 km",2017,Electric,Sedan,Black,Rask Mølle,89 kW (121 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/ioniq/ev-premium-5d/5938550,premium
"48,028 EUR (357,995 DKK)",Nissan,Qashqai,"7,800 km",2023,Petrol,Crossover,Gray,Ballerup,117 kW (159 HP),Automatic,https://www.bilbasen.dk/brugt/bil/nissan/qashqai/13-mhev-tekna-x-tr-5d/5933825,1.3
"49,505 EUR (369,000 DKK)",Bmw,X5,"284,000 km",2014,Diesel,Suv,Black,Roskilde,233 kW (317 HP),Automatic,https://www.bilbasen.dk/brugt/bil/bmw/x5/30-xdrive40d-aut-5d/6012849,xDrive40d
"12,047 EUR (89,800 DKK)",Volvo,V70,"261,000 km",2012,Diesel,Wagon,Black,Hillerød,85 kW (116 HP),Manual,https://www.bilbasen.dk/brugt/bil/volvo/v70/16-drive-5d/6066674,1.6
"73,774 EUR (549,900 DKK)",Ford,Mustang Mach-E,500 km,2023,Electric,Crossover,Blue,Varde,363 kW (494 HP),Automatic,https://www.bilbasen.dk/brugt/bil/ford/mustang-mach-e/gt-extended-range-awd-5d/5768730,GT
"83,178 EUR (619,995 DKK)",Porsche,Macan,"159,000 km",2016,Diesel,Suv,,Kastrup,192 kW (261 HP),Automatic,https://www.bilbasen.dk/brugt/bil/porsche/macan-s/30-d-pdk-5d/6091200,3.0 s
"107,193 EUR (799,000 DKK)",Porsche,911,"39,000 km",2020,Petrol,Coupe,Black,Vejle,287 kW (390 HP),Automatic,https://www.bilbasen.dk/brugt/bil/porsche/911-carrera/30-coup-pdk-2d/6027843,3.0
"46,942 EUR (349,900 DKK)",Volvo,Xc40,"59,000 km",2021,Hybrid,Crossover,Black,Tørring,195 kW (265 HP),Automatic,https://www.autouncle.dk/en/d/4736460-used-volvo-xc40-1-5-t5-twin-engine-plugin-hybrid-inscription-expression-262hk-5d-7g-aut,1.5 T5 Recharge
"51,638 EUR (384,900 DKK)",Hyundai,Ioniq 5,"6,000 km",2023,Electric,Crossover,White,Fredericia,170 kW (231 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/77-advanced-5d/5854111,
"18,755 EUR (139,800 DKK)",Toyota,Verso,"150,000 km",2014,Petrol,Mpv,Red,Bramming,109 kW (148 HP),Automatic,https://www.bilbasen.dk/brugt/bil/toyota/verso/18-vvt-i-t2-vision-mds-7prs-5d/6014769,1.8 VVT-i
"48,954 EUR (364,900 DKK)",Volvo,Xc40,"33,500 km",2022,Electric,Crossover,Green,Birkerød,172 kW (234 HP),Automatic,https://www.bilbasen.dk/brugt/bil/volvo/xc40/p6-recharge-ultimate-5d/6092050,
"4,950 EUR (36,900 DKK)",Kia,Picanto,"164,000 km",2013,Petrol,Mini,White,Hemmet,51 kW (69 HP),Manual,https://www.guloggratis.dk/annonce/c1743312-a170-4b91-929b-c17cd8a5baf9,1.0
"31,514 EUR (234,900 DKK)",Bmw,3 Series,"51,700 km",2019,Diesel,Sedan,Black,Sønderborg,141 kW (192 HP),Automatic,https://www.bilbasen.dk/brugt/bil/bmw/320d/20-executive-aut-4d/5888110,320d
"29,501 EUR (219,900 DKK)",Volkswagen,Touran,"120,000 km",2019,Diesel,Mpv,White,Horsens,85 kW (116 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/touran/16-tdi-115-iqdrive-dsg-7prs-5d/6033428,1.6 TDI
"16,729 EUR (124,700 DKK)",Ford,S-Max,"173,000 km",2014,Diesel,Mpv,White,Ringkøbing,163 kW (222 HP),Automatic,https://bilhandel.dk/ford-s-max-20-tdci-163-titanium-aut-7prs/id-1554830,2.0 TDCi
"14,059 EUR (104,800 DKK)",Kia,Picanto,"77,000 km",2018,Petrol,Mini,Gray,Holbæk,49 kW (67 HP),Manual,https://www.bilbasen.dk/brugt/bil/kia/picanto/10-mpi-gt-line-5d/6072601,1.0 mpi
"21,438 EUR (159,800 DKK)",Volkswagen,E-Golf,"21,000 km",2021,Electric,Hatchback,Gray,Hillerød,101 kW (137 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/comfortline-5d/6094221,
"21,438 EUR (159,800 DKK)",Volkswagen,E-Golf,"20,578 km",2021,Electric,Hatchback,White,Frederikssund,101 kW (137 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/e-golf-vii/comfortline-5d/6077879,
"44,661 EUR (332,900 DKK)",Nissan,Qashqai,19 km,2023,Petrol,Crossover,Gray,Sorø,117 kW (159 HP),Automatic,https://www.bilbasen.dk/brugt/bil/nissan/qashqai/13-mhev-acenta-x-tr-5d/6017280,1.3
"38,235 EUR (285,000 DKK)",Hyundai,Ioniq 5,"43,000 km",2021,Electric,Crossover,Black,Farum,161 kW (219 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/73-techniq-5d/5999178,
"36,209 EUR (269,900 DKK)",Peugeot,2008,500 km,2022,Petrol,Crossover,Black,Brovst,96 kW (131 HP),Manual,https://seek4cars.net/biler-til-salg/peugeot/2008-/1-2-puretech-platin-sport-130hk-5d/7ad3e641-3a3e-4743-8a83-42a5ceee0188,1.2 puretech
"43,575 EUR (324,800 DKK)",Hyundai,Ioniq 5,"21,000 km",2022,Electric,Crossover,White,Bramming,161 kW (219 HP),Automatic,https://www.bilbasen.dk/brugt/bil/hyundai/ioniq-5/73-essential-5d/6065844,
"40,221 EUR (299,800 DKK)",Volkswagen,Id.4,"57,000 km",2021,Electric,Hatchback,White,Bramming,152 kW (207 HP),Automatic,https://www.bilbasen.dk/brugt/bil/vw/id4/pro-performance-1st-max-5d/6089453,
