Make,Model,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Price(EUR),Mileage(km),kW,Emission standard,Country
Audi,Q2,2023,Petrol,Crossover,White,Geraardsbergen,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2023-vente-506354?,1.5 35 TFSI,36990,27990,111.0,6,Belgium
Volkswagen,Tiguan,2020,Petrol,Crossover,White,Oostkamp,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/tiguan/volkswagen-tiguan-2020-vente-554164?,1.5,30990,68050,111.0,6,Belgium
Ford,Mustang Mach-E,2022,Electric,Crossover,Orange,Houthalen Helchteren,Automatic,https://www.autogids.be/detail-id--9452626--ford-99-kwh-awd-extended-range-gt-lijna-360c-garantie/tweedehands.html,GT,53999,29493,363.0,6,Belgium
Volkswagen,Id.4,2021,Electric,Hatchback,White,Oostkamp,Automatic,https://www.vroom.be/fr/voitures-occasion/volkswagen-id4-electrique-0523173/,Pro,36990,53200,152.0,6,Belgium
Audi,A7,2022,Petrol,Sedan,Silver,Lokeren,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a7-essence-0535057/,2.0 45 TFSI,59990,28016,197.0,6,Belgium
Audi,Q2,2022,Diesel,Crossover,Silver,Herent,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-q2-diesel-0550403/,2.0 30 TDI,26990,65221,86.0,6,Belgium
Audi,Q2,2022,Diesel,Crossover,Gray,Tienen,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2022-vente-552859?,2.0 30 TDI,28500,32001,86.0,6,Belgium
Volkswagen,Polo,2021,Petrol,Hatchback,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/volkswagen/polo/volkswagen-polo-2021-vente-554132?,1.0 TSI DSG,19990,33294,70.0,6,Belgium
Audi,A6,2023,Diesel,Wagon,Blue,Wavre,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-a6-diesel-0472360/,2.0 TDI,56990,14000,152.0,6,Belgium
Audi,Tt,2023,Petrol,Convertible,Black,Lokeren,Automatic,https://www.vroom.be/fr/voitures-occasion/audi-tt-essence-0548202/,2.0 45 TFSI,43490,27727,182.0,6,Belgium
Ford,Kuga,2019,Petrol,Suv,Black,Rotselaar,Manual,https://www.autogids.be/detail-id--9464011--ford-vignale-benzine-slechts-60000km/tweedehands.html,1.5,19990,60820,111.0,6,Belgium
Audi,Q2,2021,Petrol,Crossover,Black,Oostkamp,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2021-vente-499304?,1.5,31990,21150,150.0,6,Belgium
Audi,Q2,2021,Petrol,Crossover,Gray,Oostkamp,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2021-vente-499310?,1.5,31990,11600,150.0,6,Belgium
Audi,Rs6,2018,Petrol,Wagon,Black,Brugge,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/rs6/audi-rs6-2018-vente-512415?,4.0 TFSI Quattro TipTronic,64990,97702,417.0,6,Belgium
Ford,Kuga,2022,Petrol,Suv,Gray,Vilvoorde,Manual,https://www.autogids.be/detail-id--9464157--ford-st-line-x-full-option-led-demo-wagen/tweedehands.html,1.5,36990,3975,111.0,6,Belgium
Bmw,X5,2019,Petrol,Suv,Black,Kuurne,Automatic,https://www.autogids.be/detail-id--9451134--bmw-3-0as-xdrive40i-m-sport-pano-dak-head-up/tweedehands.html,40i,49995,75000,253.0,6,Belgium
Audi,Tt,2022,Petrol,Coupe,Black,Genk,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/tt/audi-tt-2022-vente-522688?,2.0 tfsi,51990,12561,238.0,6,Belgium
Audi,Q3,2021,Petrol,Crossover,Blue,Blegny,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q3/audi-q3-2021-vente-531656?,1.4,43990,5717,182.0,6,Belgium
Seat,Arona,2021,Petrol,Crossover,Gray,Bastogne,Automatic,https://www.autogids.be/detail-id--9443581--seat-arona-fr-1-0-tsi-110cv-81kw-dsg-7v-start-stop-eu/tweedehands.html,1.0 tsi,19850,40887,82.0,6,Belgium
Audi,Q2,2020,Diesel,Crossover,Black,Brugge,Manual,https://www.vroom.be/fr/voitures-occasion/audi-q2-diesel-0557401/,1.6,23450,46500,116.0,6,Belgium
Audi,Q2,2020,Diesel,Crossover,Black,Tienen,Automatic,https://www.autotrends.be/fr/occasions/voiture-occasion-belgique/auto/audi/q2/audi-q2-2020-vente-551674?,1.6 30 TDI,24990,45125,86.0,6,Belgium
