Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"23,930 EUR",Audi,Q2,1.5 35 TFSI,"72,842 km",2021,Petrol,6,Crossover,Green,Osnabrück,110 kW (150 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1426584799?num_on_page=1&page=76&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"27,370 EUR",Audi,Q2,1.5 35 TFSI,"39,900 km",2021,Petrol,,Crossover,Blue,Rain,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1426067055?num_on_page=4&page=6&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"19,990 EUR",Audi,A1,1.0 30 TFSI,"87,400 km",2020,Petrol,,Mini,Black,Heideck,86 kW (117 HP),Automatic,https://www.12gebrauchtwagen.de/c/16/1418966602?num_on_page=3&page=64&title=Audi+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"25,890 EUR",Audi,A1,1.0 30 TFSI,"33,000 km",2020,Petrol,6,Mini,Gray,Rain,85 kW (116 HP),Automatic,https://www.instamotion.com/auto/Q5BC-BW46-S7F3
"14,490 EUR",Škoda,Fabia,1.0,"56,900 km",2020,Petrol,6,Wagon,Silver,Marl,70 kW (95 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1412299497?num_on_page=2&page=28&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"13,880 EUR",Škoda,Fabia,1.0 mpi,"43,555 km",2020,Petrol,6,Sedan,Green,Ulm,44 kW (60 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1373372076?num_on_page=3&page=97&premium=false&title=Skoda+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"13,990 EUR",Fiat,500,0.9 TwinAir,"44,500 km",2020,Petrol,,Mini,Green,Düren,63 kW (86 HP),Manual,https://www.12gebrauchtwagen.de/c/4/1382544940?num_on_page=2&page=15&title=Fiat+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"13,499 EUR",Fiat,500,1.2,"32,860 km",2020,Petrol,4,Mini,Green,Willebadessen,51 kW (69 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1419160313?num_on_page=1&page=3&title=Fiat+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"31,480 EUR",Lexus,Is,300 h,"60,000 km",2018,Hybrid,6,Sedan,Silver,Hamm,166 kW (226 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1414107415?num_on_page=5&page=1&title=Lexus+IS+Gebrauchtwagen+in+Emden+kaufen+auf+12Gebrauchtwagen.de
"11,890 EUR",Mercedes Benz,C-Class,200,"147,300 km",2009,Petrol,4,Wagon,Silver,Viernheim,135 kW (184 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428430310?num_on_page=2&page=7&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"20,980 EUR",Mazda,6,2.0 SKYACTIV-G,"66,082 km",2018,Petrol,,Wagon,Black,Wesel,123 kW (167 HP),Automatic,https://hey.car/vehicle/3a09a3a9-7a3e-4b16-9572-4457d4747ddd?dealerId=45f036d7-a807-4175-948d-c3daffd454b2
"24,990 EUR",Volkswagen,Golf,2.0 GTI,"70,500 km",2018,Petrol,,Sedan,Black,Schweinfurt,182 kW (248 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1407911499?num_on_page=5&page=103&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"23,790 EUR",Mercedes Benz,A-Class,250 Sport,"56,438 km",2016,Petrol,,Sedan,Black,Gronau,162 kW (220 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1397372850?num_on_page=3&page=60&title=Mercedes-Benz+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"25,487 EUR",Land Rover,Evoque,2.0,"84,600 km",2017,Diesel,6,Suv,Black,Viernheim,110 kW (150 HP),Automatic,https://www.12gebrauchtwagen.de/c/4/1428310531?num_on_page=2&page=9&title=Land+Rover+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de
"20,900 EUR",Ford,Focus,1.5 EcoBlue,"32,693 km",2022,Diesel,6,Sedan,Black,Oldenburg,88 kW (120 HP),Manual,https://www.kamux.de/cars/Ford/Focus/HME-C70453
