Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Seat,Leon,1.5 tsi,2023,Petrol,Hatchback,Gray,Krems,Manual,https://www.dasweltauto.at/vehicle/538803679,29890,4074,97.0,6,Austria
Mercedes Benz,C-Class,63 AMG,2019,Petrol,Sedan,White,Braunau Am Inn,Automatic,https://www.zweispurig.at/mercedes-benz-c-klasse-gebrauchtwagen-benzin-weiss-oberoesterreich/details-1217988,79999,37000,354.0,6,Austria
Renault,Trafic,1.6 dci,2019,Diesel,Van,White,Spittal An Der Drau,Manual,https://www.zweispurig.at/renault-trafic-gebrauchtwagen-diesel-weiss-kaernten/details-1240203,20970,83500,89.0,6,Austria
Audi,A5,3.0,2018,Diesel,Sedan,Black,Lienz,Automatic,https://www.zweispurig.at/audi-a5-gebrauchtwagen-diesel-schwarz-tirol/details-1202912,37900,88000,213.0,6,Austria
Volkswagen,Touran,2.0 TDI,2018,Diesel,Mpv,White,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/511095-vw-touran-comfort-tdi-led-navi-winterpaket.html,18850,150000,111.0,6,Austria
Citroen,C4 Cactus,1.6,2020,Diesel,Hatchback,White,Steyr,Manual,https://www.gebrauchtwagen-markt.at/autoboerse/510510-citroen-c4-cactus-bluehdi-ss-navi-pdc-bluetooth.html,14750,114000,76.0,6,Austria
Volkswagen,Golf,1.4,2017,Petrol,Sedan,Black,Salzburg,Manual,https://www.zweispurig.at/vw-golf-gebrauchtwagen-benzin-schwarz-salzburg/details-1157507,16900,91000,93.0,6,Austria
Land Rover,Evoque,2.0,2019,Diesel,Suv,White,Lienz,Automatic,https://www.zweispurig.at/land-rover-range-rover-evoque-gebrauchtwagen-diesel-weiss-tirol/details-1230498,33900,65000,111.0,6,Austria
Renault,Espace,2.0 dCi,2019,Diesel,Mpv,Gray,Spittal An Der Drau,Automatic,https://www.zweispurig.at/renault-espace-gebrauchtwagen-diesel-grau-kaernten/details-1211292,22480,98000,119.0,6,Austria
Toyota,C-Hr,2.0,2024,Petrol,Suv,Silver,Wien,Automatic,https://www.zweispurig.at/toyota-c-hr-vorfuehrwagen-benzin-silber-wien/details-1238286,44390,3333,113.0,6,Austria
Renault,Trafic,1.6,2017,Diesel,Van,White,Spittal An Der Drau,Manual,https://www.zweispurig.at/renault-trafic-gebrauchtwagen-diesel-weiss-kaernten/details-1171118,18990,120300,90.0,6,Austria
Volkswagen,Touran,2.0,2019,Diesel,Mpv,Gray,Perchtoldsdorf,Automatic,https://www.dasweltauto.at/vehicle/16657214,17590,180950,86.0,6,Austria
