Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact,Euro norm
"13,900 EUR",Volkswagen,Polo,1.0 tsi,"93,351 km",2018,Petrol,Hatchback,Silver,Tilburg,70 kW (95 HP),Manual,https://www.marktplaats.nl/v/auto-s/volkswagen/m2081808349-volkswagen-polo-1-0-tsi-comfortline-airco-cruise-control,
"14,445 EUR",Volkswagen,Polo,1.0,"68,882 km",2018,Petrol,Hatchback,Black,Tilburg,55 kW (75 HP),Manual,https://www.zeelandnet.nl/prikbord/volkswagen-polo-10-mpi-comfortline-navigatie-airco-lmv-apple-carplay/a/6430929,
"13,945 EUR",Volkswagen,Polo,1.0 tsi,"61,826 km",2018,Petrol,Hatchback,Gray,Stolwijk,70 kW (95 HP),Manual,https://www.autotrader.nl/auto/voertuig/volkswagen-polo-10-tsi-95pk-comfortline-navi-lmv-airco-benzine/a183ac13-5969-4331-b5c5-ba501c7bb734/,
"15,425 EUR",Volkswagen,Polo,1.0 tsi,"47,765 km",2018,Petrol,Hatchback,Silver,Moordrecht,72 kW (98 HP),Manual,https://www.marktplaats.nl/v/auto-s/volkswagen/m2089066093-volkswagen-polo-1-0-tsi-comfortline-5-deurs-airco,
"24,950 EUR",Bmw,5 Series,520d,"199,122 km",2017,Diesel,Wagon,Blue,Emmen,141 kW (192 HP),Automatic,https://www.marktplaats.nl/v/auto-s/bmw/m2089552455-bmw-5-serie-touring-520d-m-performance-high-executive-12-mn,
"25,950 EUR",Mercedes Benz,A-Class,250,"101,292 km",2016,Petrol,Sedan,Black,Ochten,162 kW (220 HP),Automatic,https://www.autotrader.nl/auto/voertuig/mercedes-benz-a-250-218-pk-aut-amg-sport-plus-distronic-plus-panorama-st-benzine/ec632be4-b283-45a2-bb41-f925d6da4c9f/,
"23,400 EUR",Nissan,Juke,1.0 DIG-T,"21,188 km",2021,Petrol,Crossover,Silver,Geldermalsen,85 kW (116 HP),Manual,https://www.marktplaats.nl/v/auto-s/nissan/m2088260570-nissan-juke-1-0-dig-t-114-enigma-led-clima-cruise-na,
"3,999 EUR",Volkswagen,Golf,1.2 TSI,"308,505 km",2011,Petrol,Wagon,Black,Wierden,78 kW (106 HP),Manual,https://www.nederlandmobiel.nl/tweedehands-auto/volkswagen/golf-variant-12-tsi-highline-bluemotion-trekhaak/18710373,
"9,900 EUR",Opel,Corsa,1.0 Turbo,"148,263 km",2016,Petrol,Van,Silver,Haarlem,67 kW (91 HP),Manual,https://www.autotrader.nl/auto/voertuig/opel-corsa-10-turbo-edition-clima-cruise-trekhaak-design-benzine/14714c35-dae7-4f01-a804-f6d0accb542c/,
"14,950 EUR",Audi,A4,2.0 TDI Ultra,"148,264 km",2016,Diesel,Wagon,Brown,Veenendaal,111 kW (151 HP),Manual,https://www.marktplaats.nl/v/auto-s/audi/m2088715814-audi-a4-avant-2-0-tdi-ultra-lease-edition-led-navigatie-le,
