Price,Make,Model,Trim,Mi,Year,Fuel type,Body type,Color,City,Power,Transmission,Contact
"15,798 EUR (179,000 SEK)",Toyota,C-Hr,1.2,"139,950 km",2017,Petrol,Suv,White,Uddevalla,85 kW (116 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-c-hr-1-2-turbo-4wd-multidrive-s-jbl-teknik-1791kr-man-11060-17597503
"52,866 EUR (599,000 SEK)",Volvo,Xc90,2.0 T8,"95,300 km",2021,Hybrid,Suv,Black,Svarta,290 kW (394 HP),Semi Automatic,https://www.bytbil.com/sodermanlands-lan/personbil-xc90-recharge-t8-r-des-pro-edt-7-saten-1932-17561156
"33,952 EUR (384,700 SEK)",Land Rover,Range Rover,3.0,"167,720 km",2013,Diesel,Suv,Black,Knivsta,183 kW (249 HP),Automatic,https://www.bytbil.com/uppsala-lan/personbil-range-rover-vogue-autobiography-258hk-ranta-6-95-11092-17239869
"7,934 EUR (89,900 SEK)",Hyundai,I40,1.7 CRDi,"188,930 km",2012,Diesel,Wagon,Black,Helsingborg,100 kW (136 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-i40-cw-1-7-crdi-kamera-bt-drag-keyless-102365-17597883
"11,905 EUR (134,900 SEK)",Audi,A5,1.8 TFSI,"142,000 km",2014,Petrol,Sedan,Black,Kristianstad,125 kW (170 HP),Manual,https://www.bytbil.com/skane-lan/personbil-a5-1-8-tfsi-edition-proline-en-agareny-servad-100330-17582549
"7,934 EUR (89,900 SEK)",Nissan,Qashqai,2.0,"160,000 km",2011,Petrol,Crossover,Brown,Kumla,,Manual,https://www.bytbil.com/orebro-lan/personbil-qashqai-plus-2-2-0-141hk-7-sits-navi-backkamera-panorama-9084-17569410
"10,061 EUR (114,000 SEK)",Ford,Kuga,2.0 TDCi,"176,000 km",2012,Diesel,Suv,Black,Uddevalla,103 kW (140 HP),Automatic,https://www.bytbil.com/vastra-gotalands-lan/personbil-kuga-2-0-tdci-4wd-4x4-powershift-dm2-titanium-1488kr-ma-11060-17455675
"15,436 EUR (174,900 SEK)",Audi,Q5,2.0 TDI Quattro DPF,"160,290 km",2013,Diesel,Suv,White,Lund,130 kW (177 HP),Automatic,https://www.bytbil.com/skane-lan/personbil-q5-2-0-tdi-dpf-quattro-s-tronic-panorama-drag-s-plus-v-100194-17549438
"9,522 EUR (107,900 SEK)",Fiat,500 X,1.6,"114,780 km",2015,Petrol,Crossover,Black,Sigtuna,104 kW (141 HP),Manual,https://bilweb.se/stockholms-lan/fiat-500-x-500x-1-4-multiair-popstar-k-rem-bytt-2015-halvkombi-10678277
"819,000 EUR",Mercedes Benz,E-Class,,"84,950 km",2017,Diesel,Sedan,Black,Stockholm,,Automatic,https://www.bytbil.com/stockholms-lan/personbil-amg-e-63-s-4matic-plus-612hk-full-spec-8428-17442167
