Price,Make,Model,Trim,Mi,Year,Fuel type,Euro norm,Body type,Color,City,Power,Transmission,Contact
"19,002 EUR (7,490,000 HUF)",Renault,Captur,1.3 TCe,"43,854 km",2022,Petrol,,Crossover,Gray,Budakalász,103 kW (140 HP),Manual,https://joautok.hu/hasznaltauto/renault/captur/captur-13-tce-mhybrid-intens-mo-i-43e-km-gyari-garancia-e-h-radar-kamera-navi-teli-gumi-ulesfutes/s27t26m/
"20,911 EUR (8,242,300 HUF)",Renault,Master,2.3,"184,882 km",2021,Diesel,,Van,,,100 kW (136 HP),,https://www.hasznaltautok.hu/vehicle?vehicle=17598168
"30,949 EUR (12,199,000 HUF)",Kia,Niro,1.6,6 km,2023,Petrol,,Suv,,Budaörs,77 kW (105 HP),Automatic,https://www.szalonauto.hu/szemelyauto/kia/niro/kia_niro_1.6_gdi_hev_gold_dct_sense_csomag_keszletrol-20250883
"40,034 EUR (15,780,000 HUF)",Opel,Astra,1.6,"1,750 km",2023,Hybrid,,Hatchback,,Szeged,110 kW (150 HP),Automatic,https://www.szalonauto.hu/szemelyauto/opel/astra_l/opel_astra_l_1.6_t_phev_elegance_automata-20184608
"37,110 EUR (14,627,300 HUF)",Citroen,C4,,,2024,Electric,,Hatchback,,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/c4-e-c4-50kwh-shine-teljesen-elektromos-e-c4-nagy-kedvezmennyel-elado/20233884
"19,027 EUR (7,500,000 HUF)",Citroen,C4,1.2 puretech,,2024,Petrol,,Hatchback,,Szeged,75 kW (102 HP),Manual,https://joautok.hu/hasznaltauto/citroen/c4/c4-12-puretech-you-szemelyre-szabott-felszereltseggel-rendelheto/0ebg67z/
"44,327 EUR (17,472,000 HUF)",Ford,Transit,2.0,1 km,2024,Petrol,,Van,,Szeged,126 kW (171 HP),Automatic,https://joautok.hu/hasznaltauto/ford/transit/transit-tourneo-custom-20-tdci-320-l2h1-titanium-automata-keszletrol-fix-5-os-finanszirozas/ev2erj9/
"13,928 EUR (5,490,000 HUF)",Citroen,C3,1.2 puretech,,2024,Petrol,,Hatchback,,Szeged,61 kW (83 HP),Automatic,https://joautok.hu/hasznaltauto/citroen/c3/c3-12-puretech-c-series-ss-januari-akcio/kvakghe/
"38,067 EUR (15,004,600 HUF)",Citroen,Jumpy,e,,2024,Electric,,Van,Green,Szeged,100 kW (136 HP),Automatic,https://hovany.hu/autok/citroen/jumpy-e-jumpy-xl-50-kwh-automata/20273944
"18,241 EUR (7,190,000 HUF)",Toyota,Corolla,,"118,454 km",2020,,,Wagon,,,72 kW (98 HP),Automatic,https://usedcars.leaseplan.com/hu-hu/toyota-corolla/1591139-hu-toyota-corolla.html
