Make,Model,Trim,Year,Fuel type,Body type,Color,City,Transmission,Contact,Price(EUR),Mileage(km),kW,Emission standard,Country
Seat,Arona,1.0 tsi,2023,Petrol,Crossover,Black,Rain,Manual,https://www.instamotion.com/auto/KEP7-5NMC-45PM,23895,10,81.0,6,Germany
Seat,Arona,1.0 tsi,2023,Petrol,Crossover,Gray,Rain,Manual,https://www.instamotion.com/auto/BFSL-PMOQ-LJHS,22895,10,81.0,6,Germany
Ford,Focus,1.0 EcoBoost,2021,Petrol,Wagon,Black,Villingen Schwenningen,Manual,https://www.autoanzeigen.de/ford+focus+st+line+xvirtual+tachowinter+paketnavi+villingen+schwenningen-i232034221_3b403b9085d50810e266.htm,19900,58781,114.0,6,Germany
Ford,Focus,1.0,2021,Petrol,Wagon,Black,Gronau,Manual,https://www.12gebrauchtwagen.de/c/4/1415752888?num_on_page=3&page=58&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,22390,21500,93.0,6,Germany
Volkswagen,Tiguan,1.4 TSI,2018,Petrol,Crossover,White,Dresden,Manual,https://www.12gebrauchtwagen.de/c/4/1408071085?num_on_page=5&page=93&title=VW+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,25990,79276,111.0,6,Germany
Porsche,Cayenne,4.0 Turbo,2023,Petrol,Suv,Black,Monheim Am Rhein,Automatic,https://auto24.de/anzeige/porsche-cayenne-4-0-turbo-gt-v8-3347071.html,234970,5597,471.0,6,Germany
Fiat,500,1.2,2019,Petrol,Mini,White,Rain,Manual,https://www.instamotion.com/auto/PKS8-2VNI-Y4XT,15580,36718,51.0,6,Germany
Fiat,500,1.2,2019,Petrol,Mini,Black,Rain,Manual,https://www.instamotion.com/auto/IELT-D2F2-UKHK,16180,16705,51.0,6,Germany
Toyota,Corolla,1.8 VVT-i,2023,Hybrid,Sedan,Green,Greifswald,Automatic,https://www.toyota.de/gebrauchtwagen/gebrauchtwagensuche/pdp.718d8765-353e-4ba7-8a24-15a265b8135c,28990,10000,144.0,6,Germany
Suzuki,Sx4 S-Cross,1.4,2020,Hybrid,Crossover,Gray,Offenburg,Automatic,https://www.carzilla.de/Autohaus-Linck-GmbH/Suzuki/SX4-S-Cross/Gebrauchtfahrzeug/Benzin/Schaltgetriebe/c468180d6c454c5993f911753818629a/20753,24988,10465,95.0,6,Germany
Ford,Kuga,1.5 EcoBoost,2019,Petrol,Suv,Black,Perleberg,Automatic,https://www.12gebrauchtwagen.de/c/4/1403587449?num_on_page=5&page=76&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,19400,85172,110.0,6,Germany
Ford,Kuga,2.0 TDCi,2019,Diesel,Suv,Black,Rain,Automatic,https://www.instamotion.com/auto/SUBY-IT48-CGUT,26250,73500,132.0,6,Germany
Ford,Kuga,2.0 EcoBoost,2019,Petrol,Suv,Gray,Schüttorf,Automatic,https://www.12gebrauchtwagen.de/c/4/1415802679?num_on_page=2&page=43&title=Ford+Gebrauchtwagen+kaufen+auf+12Gebrauchtwagen.de,23500,61800,169.0,6,Germany
Volkswagen,Touran,1.5 tsi,2022,Petrol,Mpv,Blue,Neumarkt in der Oberpfalz,Automatic,https://auto24.de/anzeige/volkswagen-touran-1-5-tsi-active-opf-3242685.html,34850,12100,111.0,6,Germany
Seat,Ateca,1.5 tsi,2020,Petrol,Suv,Green,Rutesheim,Automatic,https://www.ebay-kleinanzeigen.de/s-anzeige/seat-ateca-eu6d-t-style-1-5-tsi-apple-carplay-android/2533839551-216-8425,22790,20731,110.0,6,Germany
Seat,Ateca,1.5 tsi,2020,Petrol,Suv,White,Rutesheim,Manual,https://auto24.de/anzeige/seat-ateca-1-5-tsi-xperience-eu6d-sitze-scheinwerferreg-3314165.html,25890,12080,110.0,6,Germany
Volvo,Xc60,2.0 T8 AWD,2020,Hybrid,Crossover,Gray,Bad Salzuflen,Automatic,https://www.ebay-kleinanzeigen.de/s-anzeige/volvo-xc60-t8-awd-r-design-hybrid-acc-ahk-dab-panorama/2656178196-216-1900,49999,23314,288.0,6,Germany
