Price,Make,Model,Mi,Year,Fuel type,Body type,Color,City,Transmission,Contact,Trim,Power,Euro norm
"28,490 EUR (27,500 CHF)",Seat,Ateca,13 km,2024,Petrol,Suv,Gray,,Automatic,https://www.azw.ch/de/angebot/806/seat-ateca-1-5-tsi-evo-style-dsg-auto-31?&page_number=6,1.5 tsi,111 kW (151 HP),6
"30,872 EUR (29,800 CHF)",Mazda,Cx-5,"9,200 km",2023,Petrol,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/927/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,123 kW (167 HP),6
"26,728 EUR (25,800 CHF)",Peugeot,3008,"33,200 km",2023,Diesel,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/937/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,96 kW (131 HP),6
"27,764 EUR (26,800 CHF)",Peugeot,3008,"17,400 km",2023,Diesel,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/941/peugeot-3008-1-5-bluehdi-allure-pack-eat-autom?&page_number=5,1.5 bluehdi,96 kW (131 HP),6
"30,872 EUR (29,800 CHF)",Mazda,Cx-5,"10,600 km",2023,Petrol,Crossover,Gray,,Automatic,https://www.azw.ch/de/angebot/962/mazda-cx-5-e-skyactiv-g-165-homura-fwd-automat?&page_number=4,2.0,123 kW (167 HP),6
"164,206 EUR (158,500 CHF)",Bentley,Bentayga,"14,900 km",2021,Petrol,Suv,Gray,,Automatic,https://www.azw.ch/de/angebot/1188/bentley-bentayga-v8-design-series-550ps?&page_number=2,4.0 V8,410 kW (558 HP),6
"40,922 EUR (39,500 CHF)",Bmw,X4,"26,100 km",2019,Petrol,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/693/bmw-x4-xdrive-20i-m-sport-x-steptronic-automat?&page_number=2,20i xDrive,137 kW (186 HP),6
"20,202 EUR (19,500 CHF)",Volkswagen,T-Cross,"22,700 km",2022,Petrol,Crossover,Black,,Automatic,https://www.azw.ch/de/angebot/1065/vw-t-cross-1-0-tsi-life-dsg-automat?&page_number=8,1.0 tsi,82 kW (112 HP),6
"43,304 EUR (41,800 CHF)",Bmw,X1,"9,100 km",2023,Petrol,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/791/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,101 kW (137 HP),6
"43,304 EUR (41,800 CHF)",Bmw,X1,"3,200 km",2023,Petrol,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1128/bmw-x1-sdrive-18i-m-sport-neues-modell-steptr-automat?&page_number=2,18i sDrive,101 kW (137 HP),
"69,204 EUR (66,800 CHF)",Audi,Tt,"8,600 km",2023,Petrol,Coupe,Gray,,Automatic,https://www.azw.ch/de/angebot/1111/audi-tt-coupe-ttrs-quattro-s-tronic-automat-400ps?&page_number=1,2.5,298 kW (405 HP),
"47,448 EUR (45,800 CHF)",Bmw,3 Series,"22,100 km",2023,Petrol,Sedan,Black,,Automatic,https://www.azw.ch/de/angebot/876/bmw-330i-xdrive-m-sport-steptronic-automat?&page_number=2,330i,182 kW (248 HP),6
"23,620 EUR (22,800 CHF)",Citroen,C5 Aircross,"33,300 km",2023,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1149/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,97 kW (132 HP),6
"23,620 EUR (22,800 CHF)",Citroen,C5 Aircross,"29,300 km",2023,Diesel,Suv,Black,,Automatic,https://www.azw.ch/de/angebot/1067/citroen-c5-aircross-1-5-bluehdi-prestige-eat-automat?&page_number=2,1.5 bluehdi,97 kW (132 HP),
"23,310 EUR (22,500 CHF)",Opel,Mokka,"16,300 km",2022,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1027/opel-mokka-1-2-direct-injection-turbo-gs-line-automat?&page_number=5,1.2,96 kW (131 HP),6
"3,626 EUR (3,500 CHF)",Peugeot,4007,,2010,Petrol,Suv,Black,Meilen,Automatic,https://www.carforyou.ch/de/auto/peugeot/4007,2.4,,
"24,760 EUR (23,900 CHF)",Škoda,Kamiq,"22,200 km",2020,Diesel,Suv,,,Automatic,https://www.azw.ch/de/angebot/1168/skoda-kamiq-1-6-tdi-style-dsg-automat?&page_number=6,1.6 TDI,85 kW (116 HP),6
"39,160 EUR (37,800 CHF)",Subaru,Solterra,10 km,2024,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/606/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"39,160 EUR (37,800 CHF)",Tesla,Model 3,"18,200 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/895/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"39,160 EUR (37,800 CHF)",Tesla,Model 3,"17,700 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/894/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"39,160 EUR (37,800 CHF)",Tesla,Model 3,"17,300 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/849/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"40,196 EUR (38,800 CHF)",Tesla,Model 3,"14,600 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/850/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"41,232 EUR (39,800 CHF)",Tesla,Model 3,"13,500 km",2023,Electric,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1078/tesla-model-3-performance-dual-motor-awd-534ps-automat?&page_number=7,0.0 performance,398 kW (541 HP),
"27,454 EUR (26,500 CHF)",Bmw,X1,"39,100 km",2019,Petrol,Suv,,,Automatic,https://www.azw.ch/de/angebot/1006/bmw-x1-sdrive-20i-steptronic-dsk-automat?&page_number=2,,104 kW (141 HP),6
"45,480 EUR (43,900 CHF)",Tesla,Model Y,"18,600 km",2022,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/841/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,398 kW (541 HP),
"46,516 EUR (44,900 CHF)",Tesla,Model Y,"15,900 km",2022,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/840/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,398 kW (541 HP),
"46,930 EUR (45,300 CHF)",Tesla,Model Y,"12,500 km",2022,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/777/tesla-model-y-performance-awd-534ps-autom?&page_number=7,0.0 performance,398 kW (541 HP),
"36,778 EUR (35,500 CHF)",Volkswagen,Arteon,"19,100 km",2023,Petrol,Wagon,,,Automatic,https://www.azw.ch/de/angebot/1186/vw-arteon-sb-2-0-tsi-r-line-dsg-automat?&page_number=8,2.0 TSI,141 kW (192 HP),
"39,160 EUR (37,800 CHF)",Subaru,Solterra,4 km,2024,Electric,Suv,,,Automatic,https://www.azw.ch/de/angebot/717/subaru-solterra-ev-luxury-71-4-kwh-awd-autom-38?&page_number=7,,162 kW (220 HP),
"36,052 EUR (34,800 CHF)",Volkswagen,Golf,9 km,2024,Diesel,Sedan,,,Automatic,https://www.azw.ch/de/angebot/1164/vw-golf-2-0-tdi-r-line-dsg-automat-29?&page_number=8,2.0 TDI,111 kW (151 HP),
"24,656 EUR (23,800 CHF)",Volkswagen,Taigo,79 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1178/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,656 EUR (23,800 CHF)",Volkswagen,Taigo,17 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1177/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,656 EUR (23,800 CHF)",Volkswagen,Taigo,14 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1174/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,656 EUR (23,800 CHF)",Volkswagen,Taigo,12 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1179/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"24,656 EUR (23,800 CHF)",Volkswagen,Taigo,11 km,2024,Petrol,Crossover,,,Automatic,https://www.azw.ch/de/angebot/1175/vw-taigo-1-0-tsi-life-dsg-automat-34?&page_number=9,1.0 tsi,82 kW (112 HP),
"22,584 EUR (21,800 CHF)",Volkswagen,Passat,"49,800 km",2021,Petrol,Wagon,,,Automatic,https://www.azw.ch/de/angebot/993/vw-passat-variant-2-0-tdi-bmt-business-dsg-automat?&page_number=8,3.6,111 kW (151 HP),6
